"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1453","LOC100854423",1738.48293705026,1224.59906193363,3129.71492067808,4582.17791797414,2668.74370940903,1.38011472212835,0.281081431370983,4.91001741166893,9.10683065815846e-07,6.75552575690392e-06
"1454","LOC100854477",58.7205086209402,36.4809470041162,120.506075053612,237.825308919797,113.383209899616,1.91391976123729,0.491632260658448,3.89299058339655,9.90159971877805e-05,0.000466830940510485
"1455","LOC100854478",1956.4605826886,1463.38344232421,4091.46816729643,5442.27430217438,3238.3966236209,1.47922640700908,0.253604620908348,5.83280541857187,5.45031149984785e-09,5.89560689711206e-08
"1456","LOC100854483",599.66095167445,446.891600800424,1121.28033645122,1305.73021547714,868.390776100808,1.21390969695393,0.255793224220739,4.74566791459014,2.07819429391976e-06,1.43884767016341e-05
"1457","LOC100854510",54.2719852405659,61.3543199614682,530.226730235891,645.360911097895,322.803486633955,3.34490299638676,0.302853587884915,11.0446206688422,2.32748588625332e-28,1.21136276930518e-26
"1458","LOC100854530",3.5588187042994,13.2657989105877,47.0547531161721,40.407212680548,26.0716458529018,2.37019329500982,0.838569419073898,2.82647237199208,0.00470638037661592,0.0137931976345093
"1459","LOC100854535",284.705496343952,231.322368503373,775.829587964204,1190.28103638986,620.534622300347,1.93019555395528,0.299510837776343,6.44449318857917,1.15987343052389e-10,1.59052298407394e-09
"1460","LOC100854556",895.932608807375,536.435743446891,1269.33065723137,1717.88378481873,1104.89569857609,1.06071832070709,0.309932486576023,3.42241735426114,0.000620669632362152,0.00235969109599985
"1461","LOC100854564",4093.53121462039,2952.46937003768,6622.09574342227,11661.5215796061,6332.40447692162,1.3757160544026,0.308670399702238,4.45690955702165,8.31496626407409e-06,5.08923590750574e-05
"1462","LOC100854589",492.896390545467,393.828405158073,884.85889396509,1602.43460573145,843.504573850019,1.48820980469276,0.326014051905692,4.56486398667032,4.99818288954029e-06,3.20200511089961e-05
