"","AF_A","AF_B","CO_A","CO_B"
"LOC104879791",103.205742424683,125.195977218672,14.9197997685424,16.1628850722192
"LOC104879792",10.6764561128982,2.4873372957352,0,0
"LOC100245192",359.44068913424,533.119293719244,21.8058612001773,33.4802619353112
"LOC100248684",1691.32858921829,1686.41468650846,1796.11435675145,1907.22043852187
"LOC100243543",143.242452848051,264.486865779843,27.5442457265398,24.2443276083288
"LOC100267493",1806.10049243195,1822.38912534199,2077.29519854321,1892.21204524052
"LOC100262334",1505.38031191865,2033.81279547948,350.04145610811,232.052849965433
"LOC100257226",1166.40283033413,1261.90912136966,768.943526532569,974.391071496643
"LOC104879793",496.455209249767,398.803079749543,608.26875979442,497.585961866177
"MYB12",245.558490596659,191.52497177161,71.1559681268944,86.58688431546
"LOC100252105",2064.11484849365,2605.07126106666,1755.94566506691,1607.05257289494
"LOC100246965",1170.8513537145,1049.65633880025,2439.96110060932,3114.81885177481
"LOC100267577",2493.84220703781,3308.15860332781,216.910935096501,252.833702201143
"LOC100241835",4460.08954116323,3127.41209317105,3234.15351905788,4597.18631125549
"LOC100257310",193.065914708243,302.626037647782,221.501642717591,170.864785049174
"LOC100264117",838.991509538585,1513.13018823891,117.063044337794,69.269507452368
"LOC100252178",49.8234618601917,63.0125448252917,8.03373833690744,2.3089835817456
"LOC100253802",10357.0521341873,10040.5515504511,243.307503917768,290.931931299946
"LOC100248702",2208.24700601778,1996.50273604345,2787.70720290688,3535.05386365251
"LOC100243565",770.484249480821,768.587224382176,795.340095353836,1055.20549685774
"LOC100265889",386.131829416485,342.423434379545,740.251603900757,1042.50608715814
"LOC100260678",725.109311001004,877.200952962613,182.480627938326,267.84209548249
"LOC100255608",1053.41033647262,1067.0676998704,1339.338948453,1520.46568857948
"LOC100264203",1678.87272375324,1929.3446290586,1036.35224546106,1051.74202148512
"LOC100250421",524.036054208087,699.770892533502,666.800281963317,850.860449873253
"LOC100245295",2109.48978697347,1713.77539676155,3000.02743038229,3303.00101368708
"LOC100248563",1083.66029545917,799.26438436291,1536.73937615987,1259.55054384222
"LOC100267599",483.999343784719,1067.0676998704,262.8180113074,286.313964136454
"LOC100262446",3233.18679285601,3022.11481431826,3130.86259758336,2453.2950556047
"LOC100257331",1808.76960646017,1918.56616744375,2010.7299380374,2559.508300365
"LOC100243431",3522.34081258034,2864.58345225504,5855.44757070025,5800.16675734495
"LOC100265753",6.22793273252396,7.46201188720559,10.3290921474524,2.3089835817456
"LOC100252201",999.138351232058,984.156456679226,626.63159027878,647.669894679641
"LOC100260535",304.278999217599,371.442369496456,211.172550570138,190.491145494012
"LOC100255466",825.645939397462,693.96710551012,812.555248932924,579.554879018145
"LOC100262306",891.484085427001,853.985804869084,1900.55295513124,2080.39420715278
"LOC100246849",6138.0725602404,6024.33093027065,8008.48944499144,10987.2983737364
