"","AF_A","AF_B","CO_A","CO_B"
"LOC104882357",2,2,0,0
"LOC104882344",7,3,2,7
"LOC100266454",1746,1991,1549,1415
"LOC104882333",53,91,76,81
"LOC100264466",897,1085,966,856
"LOC100256160",514,760,354,347
"LOC109123405",1,10,2,10
"LOC100242335",38,44,1,0
"LOC109122376",2835,3433,1367,1389
"LOC100267887",9,13,5,0
"LOC100262736",4,6,0,0
"LOC100257616",2034,1471,1757,1585
"LOC100262985",10433,3737,9544,14107
"LOC100252483",1721,1181,3507,3880
"LOC100254326",814,674,914,942
"LOC104882088",73,66,80,65
"LOC100267988",33802,23421,34990,43146
"LOC100264518",1385,1248,1930,2038
"LOC100261188",2087,1492,2166,2834
"LOC100259342",55,37,152,210
"LOC100254230",198,243,168,148
"LOC100249124",195,257,135,142
"LOC100259443",1843,1542,2385,2852
"LOC100243961",1564,1740,2308,2681
"LOC100266292",5,19,39,42
"LOC100255994",507,604,606,646
"LOC100250856",23,21,0,0
"LOC109122386",0,0,0,0
"LOC104879330",0,0,0,0
"LOC100266239",506,804,601,650
"LOC100261031",7773,10341,5013,4190
"LOC100255949",660,768,329,338
"LOC100250797",7113,6267,8523,9143
"LOC100245656",3548,3347,3610,3743
"LOC100257758",524,611,644,589
"LOC100267979",10,14,0,0
"LOC100262828",10289,12972,310,480
"LOC100252620",125,136,84,84
"LOC100854345",0,2,0,0
"LOC104881607",6,0,0,0
"LOC100259487",380,430,446,418
"LOC100257705",1111,1243,1163,1138
"LOC100252568",858,679,995,1228
"LOC100254373",1194,1778,1198,761
"LOC100247460",9931,12585,2383,2071
"LOC100249273",568,611,399,391
"LOC100854271",0,0,0,0
"MIR319B",2549,2155,3151,3452
"LOC100242324",10991,15087,2071,2436
"LOC104881294",359,684,45,61
"LOC100264613",4911,4087,4535,4311
"LOC100259436",702,1079,179,143
"LOC100245565",459,509,382,469
"LOC100267882",78,58,23,29
"LOC100254317",701,703,362,529
"LOC100249220",8944,11894,7070,4382
"LOC100244049",492,380,467,496
"LOC100854142",190,275,37,23
"LOC100266384",123,127,93,60
"LOC100854116",202,254,76,61
"MYBC2-L1",496,727,547,476
"LOC100264511",536,845,118,67
"LOC100256093",9,19,0,2
"LOC100259334",4074,4394,4317,4655
"LOC100250945",2308,1862,2089,1873
"LOC104881043",611,435,596,779
"LOC100245798",1540,1501,1267,1576
"LOC100261077",1957,1107,1414,2487
"LOC100255988",1565,1238,1015,1472
"LOC104880977",148,151,90,113
"LOC100245710",1666,1938,880,790
"LOC100268124",1844,2594,1001,767
"LOC100257750",313,439,143,202
"LOC100252614",1095,1343,788,860
"LOC100262974",1456,1493,1114,1017
"LOC100247506",170,181,170,151
"LOC100257846",627,1073,551,556
"LOC100853735",15,6,4,2
"LOC100252699",902,1386,624,565
"LOC100247306",3831,3407,5950,8283
"LOC100261233",986,874,1187,1061
"LOC100242169",2888,2862,2916,2967
"LOC100256148",1968,2799,3173,2481
"TRNAS-AGA",2,0,0,2
"LOC100264459",1426,1505,1027,1113
"LOC100259280",1287,1439,1486,1550
"LOC100254163",1073,1042,991,994
"LOC100250994",109,163,43,17
"LOC100249059",1318,1478,142,151
"LOC100267876",61,71,43,35
"LOC100257599",1615,1039,1868,1725
"LOC100252471",8,3,4,0
"LOC100242225",0,0,0,0
"LOC100266230",0,0,0,0
"GRIP61",0,0,0,0
"LOC100250786",2,7,22,9
"LOC100245649",0,0,2,0
"LOC100267971",9,5,0,2
"LOC100254219",94,46,27,12
"LOC100853085",0,0,0,0
"LOC100262819",1807,816,407,519
"LOC100257695",8535,10107,519,134
"LOC100243950",4,10,0,0
"LOC100266279",972,1589,6,9
"LOC100252560",8107,8271,9977,12716
"LOC100247453",10688,12642,5334,6600
