"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2284","LOC100258952",11943.3955716288,13281.552046794,135.425874822154,169.710293258302,6382.52094662582,-6.36938932238514,0.2271196746506,-28.0441988664512,4.70128291449263e-173,2.12874090368226e-169
"2285","LOC100258962",29.3602543104701,42.2847340274983,2.29535381054498,1.1544917908728,18.7737084848466,-4.3759544476755,1.16328215357534,-3.76173092162209,0.000168741528839517,0.000747086179313045
"2286","LOC100258993",460.867022206773,608.568525023211,166.413151264511,190.491145494012,356.584960997127,-1.5835734130311,0.292867532150015,-5.40713202793663,6.40419359648534e-08,5.91076000914913e-07
"2287","LOC100259000",1077.43236272664,1543.80734821965,369.551963497742,177.791735794411,792.145852559611,-2.25972903121089,0.365592832629499,-6.18099926893522,6.36971116251687e-10,7.88034211581322e-09
"2288","LOC100259005",470.653773643596,745.372076288647,109.029306000887,33.4802619353112,339.63385446711,-3.09289083338246,0.483713787676498,-6.39405142499462,1.61547057877599e-10,2.16219130024266e-09
"2289","LOC100259013",490.227276517243,509.075033193804,14.9197997685424,3.4634753726184,254.421396213052,-5.76261003453046,0.491009117235964,-11.736258721569,8.30810348578171e-32,5.38955481140682e-30
"2290","LOC100259020",274.918744907129,501.613021306598,76.8943526532569,57.72458954364,227.787677102656,-2.52850451837128,0.403825244750677,-6.26138298989303,3.81578081489267e-10,4.87799422073236e-09
"2291","LOC100259024",157.477727665249,215.56923229705,79.1897064638019,55.4156059618944,126.913068096999,-1.47096551357191,0.408324231194854,-3.60244482495568,0.000315238325302602,0.00129528052356641
"2292","LOC100259035",180.610049243195,254.537516596902,13.7721228632699,5.772458954364,113.673036914433,-4.4760304172496,0.549530347529609,-8.14519241270552,3.78679263630889e-16,8.74826380469728e-15
"2293","LOC100259038",226.874692399087,80.423905895438,19.5105073896323,32.3257701444384,89.7837189571489,-2.56698611371699,0.608301805559639,-4.21992190431747,2.44386962027058e-05,0.000134196478784686
"2294","LOC100259041",19915.1494692595,23953.0581579299,150.345674590696,138.539014904736,11039.2730791712,-7.24649771621228,0.226254545271477,-32.0280757565219,4.43465962821296e-225,3.34668979942471e-221
"2295","LOC100259047",96.9778096921588,90.3732550783788,43.6117224003547,40.407212680548,67.8424999628601,-1.15674505304353,0.466301359462382,-2.48068127954245,0.0131131566183503,0.0329575783569551
"2296","LOC100259052",1562.32141118744,2272.59717587006,405.129947561189,317.48524249002,1139.38344427718,-2.40797066653888,0.278652884543599,-8.64147044622509,5.54941047008645e-18,1.51189714852897e-16
"2297","LOC100259071",1097.89557027637,1038.04876475349,251.341242254676,124.685113414262,627.992672674698,-2.50579625432865,0.341774076455756,-7.33173293982417,2.27195498838188e-13,4.12817503506948e-12
