"","Row.names","AF_A","AF_B","CO_A","CO_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"26","FAOMT",220.646759666563,135.145326401612,41.3163685898097,19.6263604448376,104.183703775706,-2.54457035139338,0.513600559315833,-4.95437612993062,7.25627240092695e-07,5.49805914180007e-06
"27","FLS1",326.52161611947,282.727339281901,1156.85832051467,1429.26083710053,798.842028254142,2.08601320533194,0.246426497757913,8.46505235561648,2.56037650327342e-17,6.57967355665268e-16
"28","G1",178.830639891045,344.910771675281,6.88606143163495,4.6179671634912,133.811360040363,-5.50861542036796,0.636473260566941,-8.65490470952563,4.93323647852811e-18,1.34889461200334e-16
"29","GATA",804.293027171665,898.757876192318,333.973979434295,275.923538018599,578.237105204219,-1.48153256771004,0.250856178114325,-5.90590424699387,3.50717646807572e-09,3.89418711315518e-08
"30","GDH",2282.09249413199,2922.62132248886,856.166971333278,741.183729740337,1700.51612942362,-1.70420051481152,0.235059304499507,-7.25008745533445,4.16502610328392e-13,7.34966414484396e-12
"31","GER6",217.087940962264,349.885446266751,66.5652605058045,49.6431470075304,170.795448685587,-2.28693869866012,0.404181789429484,-5.65819331417234,1.52974774483103e-08,1.54406994841616e-07
"32","GFH2",1671.75508634464,1057.94746311937,3359.25030173258,4566.01503290192,2663.74197102463,1.53789018612434,0.288673699673158,5.32743435881265,9.96097592203097e-08,8.88559869482983e-07
"33","GRIP21",2138.85004128394,2804.05824472548,1351.96339441099,923.59343269824,1804.61627827966,-1.11918466326606,0.272820865708698,-4.10226930538756,4.09117690870931e-05,0.000212782552752536
"34","GRIP32",41390.8409403542,25382.4479905458,56453.0792934486,83007.9597637543,51558.5819970257,1.062526726365,0.298360744263094,3.56121489436982,0.000369142799336531,0.00148920045919085
"35","GRIP4",276.698154259279,476.739648349246,145.754966969606,62.3425567071312,240.383831571316,-1.85636697019725,0.457786034815895,-4.05509742328382,5.01134117728379e-05,0.000255418199580605
