"","Row.names","A1_A","A1_B","F1_A","F1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"518","LOC100243346",821.236070981767,1508.02967209878,43.7195537527602,13.9109112247188,596.724052014507,-5.33689571645751,0.481110786495422,-11.0928623224877,1.35869448939369e-28,1.06348242601726e-26
"519","LOC100243349",146.968486705322,185.771771200575,1.98725244330728,5.96181909630808,85.172332361378,-5.38746337365479,0.723435279679228,-7.44705646100588,9.54457794848243e-14,2.15728910125475e-12
"520","LOC100243351",687.176978378939,552.348153943954,1375.17869076864,1470.58204375599,1021.32146671188,1.19902559725134,0.264932475684034,4.52577810310177,6.01736925187945e-06,4.14681054713282e-05
"521","LOC100243368",625.609098813196,784.811225927561,280.202594506327,226.549125659707,479.293011226698,-1.47677249718518,0.308651271183078,-4.7845987853043,1.71329219102776e-06,1.31443881444372e-05
"522","LOC100243388",11510.2143878472,8949.82827136885,24039.7928066882,19251.7074984948,15937.8857410998,1.08127489960676,0.255765349721969,4.22760511063038,2.36191846535635e-05,0.000141743293105932
"523","LOC100243389",1137.01971133509,1708.70292227266,652.812427626443,731.316475813791,1057.462884262,-1.03981523774143,0.297485433846716,-3.49534840847775,0.00047344330415567,0.00204073878808075
"524","LOC100243391",160.870911123393,133.119878828219,10.9298884381901,19.8727303210269,81.1983521777074,-3.25464621093088,0.572547882787741,-5.68449610726701,1.31198910908276e-08,1.47523604909495e-07
"525","LOC100243401",196.620002484147,469.893303624983,4.96813110826821,4.96818258025673,169.112404949414,-6.06777237115274,0.674610521145148,-8.99448226934368,2.3734822105721e-19,8.99151942521061e-18
"526","LOC100243402",608.727583448395,799.712704900869,113.273389268515,108.306380249597,407.505014466844,-2.66819836244393,0.322719203348737,-8.26786362496261,1.36380766901197e-16,4.01087062424631e-15
"527","LOC100243431",1889.73669054208,2350.45995005647,5264.23172232099,6099.93457203921,3901.09073373969,1.42228952052853,0.248576632299445,5.72173461106024,1.05441924480354e-08,1.20446891132697e-07
"528","LOC100243434",3338.5679209682,4035.32050597184,8780.67492075323,9518.04418725585,6418.15188373728,1.31124570552045,0.23614007181075,5.55283012944676,2.81081194614588e-08,3.00543651605662e-07
"529","LOC100243437",2680.18882174098,2935.5913577417,10225.4074470376,9630.32511356965,6367.87818502249,1.82199761100416,0.224619707132102,8.11147710175142,5.00080856675882e-16,1.40120964282288e-14
"530","LOC100243438",439.91242980039,270.213485382654,160.96744790789,99.3636516051346,242.614253674017,-1.44772842147306,0.419957347697597,-3.44732251837047,0.000566172263919963,0.00238323176900592
"531","LOC100243443",1078.43092271608,1014.29400211651,2961.99976674951,2259.52943750076,1828.56353227071,1.31908970097673,0.260327374701946,5.06704184485777,4.04045487372351e-07,3.49859393013283e-06
"532","LOC100243450",314.790610037751,120.205263718019,521.653766368162,406.397335065001,340.761743797233,1.09319721888137,0.454960280757453,2.40284100638705,0.0162682588360679,0.0423517917362936
"533","LOC100243459",411.114550648672,853.358029204778,5.96175732992185,5.96181909630808,319.09903906992,-6.72856985595742,0.590964301124313,-11.3857467247282,4.92445866251686e-30,4.32578211594712e-28
"534","LOC100243460",170.801214279158,138.087038485989,57.6303208559112,48.688189286516,103.801690726894,-1.53869308911082,0.463262347086024,-3.32142920483261,0.000895576992239401,0.00356458780686343
"535","LOC100243468",194.633941852994,271.206917314208,116.254267933476,112.280926313802,173.59401335362,-1.02741724537639,0.39425704995408,-2.6059578275038,0.00916177412732305,0.0263132850293019
"536","LOC100243474",135.052122918404,165.903132569497,64.5857044074867,48.688189286516,103.557287295476,-1.40973040894019,0.468876914956634,-3.00661082678932,0.00264177735268533,0.00913249582859911
"537","LOC100243479",728.884251633152,485.788214529845,300.0751189394,276.230951462274,447.744634141168,-1.07566146279862,0.32916939767927,-3.26780517989313,0.00108384944844198,0.00421064416857065
"538","LOC100243487",17.874545680377,90.4023057714026,2.98087866496093,3.97454606420539,28.8080690452365,-3.96042730605605,1.08565219784033,-3.6479706059956,0.000264319868975087,0.00122739115519456
