"","A1_A","A1_B","F1_A","F1_B"
"LOC100263565",228.396972582595,741.10022093919,160.96744790789,91.4145594767239
"LOC100241300",725.905160686423,891.108442603825,1363.2551761088,1421.89385446948
"LOC100246424",53.6236370411311,105.303784744711,58.6239470775649,91.4145594767239
"LOC100246320",2754.66609540922,1499.0887847148,4067.90575145001,2430.43491826159
"LOC100241201",82.4215161928496,93.3826015660642,215.61689009884,167.924571212678
"LOC100244574",46.6724248320956,33.7766856728317,49.6813110826821,59.6181909630808
"LOC100254844",159.877880807817,181.798043474359,143.082175918124,116.255472378008
"LOC100268113",1204.5457727943,1466.30553097352,3062.35601513652,3457.85507585869
"LOC100262960",671.288493329715,1101.71601209325,708.455496039047,898.247410510417
"LOC100254300",734.842433526611,590.098567343001,695.538355157549,716.411928073021
"LOC100249202",739.807585104494,452.011528857013,652.812427626443,642.882825885221
"LOC100244030",1367.40274454884,1919.31049176209,2203.86295962778,2294.30671556256
"LOC100261161",1334.63274413482,1488.1610334677,212.636011433879,212.638214434988
"LOC100256075",370.400307710035,533.472947244431,623.997267198487,675.672830914915
"LOC100257837",319.755761615634,374.523838195811,982.696333215452,789.94103026082
"LOC100252690",1026.7933463061,920.911400550442,3139.85886042551,2250.5867088563
"LOC100247588",142.996365443016,98.3497612238336,256.35556518664,220.587306563399
"LOC100252685",32.7700004140246,68.5468032772173,4.96813110826821,4.96818258025673
"LOC100247584",1463.72668515976,1045.09039199468,583.258592110688,407.390971581052
"LOC100242158",53.6236370411311,108.284080539372,14.9043933248046,14.9045477407702
"LOC100254145",717.960918161811,785.804657859115,393.475983774842,392.486423840282
"LOC100852965",491.550006210368,791.765249448438,554.443431682732,676.666467430967
"LOC100852922",3551.07640850157,2579.94272624541,1493.42021114542,1559.01569368456
"LOC100254152",805.347585932543,531.486083381323,1229.11563618556,897.253773994366
"LOC100243889",531.271218833428,623.875253015833,521.653766368162,478.932800736749
"LOC100249047",412.107580964248,248.357982888469,181.833598562616,232.510944756015
"LOC100250766",2015.8515406203,1810.03297929116,3062.35601513652,2731.50678262515
"LOC100243894",358.483943923117,374.523838195811,200.712496774036,258.34549417335
"LOC100266218",1229.37153068371,1315.30387737733,1949.49464688445,2052.85304216208
"LOC100261013",1599.77183839374,913.957377029565,977.728202107184,827.699217870771
"LOC100255934",4780.44793918528,3874.38453306011,2734.45936199082,2590.41039734586
"LOC100250773",145.975456389746,131.133014965111,107.311631938593,121.223654958264
"LOC100245638",609.720613763972,613.940933700294,589.22034944061,524.640080475111
"LOC100262808",1501.46183715167,1144.43358515006,1690.15820303284,1273.84201357783
"LOC100262947",1181.70607553604,1682.87369205226,1337.4208943458,1337.43475060511
"LOC100257686",2428.95215190012,1299.40896647247,2790.10243040343,2192.95579092532
"LOC100852419",955.295163584594,813.620751942623,1004.55611009183,754.170115682972
"LOC104880604",22.8396972582595,44.7044369199244,28.8151604279556,42.7263701902079
"LOC100241105",134.059092602828,83.4482822505255,171.89733634608,181.835482437396
"LOC100253116",670.295463014138,584.137975753678,589.22034944061,583.26463492214
"LOC109121512",5.95818189345901,21.8555024941852,8.94263599488278,10.9300016765648
"LOC100855309",11.916363786918,9.93431931553875,23.8470293196874,25.834549417335
"LOC100854976",366.428186447729,347.701176043856,110.292510603554,100.357288121186
"LOC100855045",64.5469705124726,42.7175730568166,0,1.98727303210269
"LOC100260761",516.375764099781,1014.29400211651,1310.59298636115,1325.5111124125
"LOC100265351",883.796980863086,1277.55346397828,1502.36284714031,1979.32393997428
"LOC100855015",320.74879193121,276.174076971977,248.40655541341,170.905480760832
"LOC100265560",61.5678795657431,44.7044369199244,32.7896653145702,83.4654673483131
"LOC100262035",3677.19125857978,3032.94768703398,4200.05803892994,4525.02069409783
"LOC100244702",557.090007038417,703.349807540143,869.422943946937,666.730102270453
"LOC100854807",1617.64638407412,2909.7621275213,3953.63873595984,4312.38247966284
"LOC100267797",33.763030729601,148.021357801527,134.139539923242,166.930934696626
"PPO",3322.67943591897,3062.7506449806,1103.9187322572,526.627353507214
"LOC100255474",2484.56184957241,2013.6865252597,3858.25061868109,3421.09052476479
"LOC109121382",326.706973824669,640.763595852249,235.489414531913,322.931867716688
"LOC100854516",577.943643665524,591.091999274555,143.082175918124,102.344561153289
"LOC100854546",288.971821832762,349.688039906964,467.004324177212,440.180976610746
"LOC100854579",148.954547336475,175.837451885036,37.7577964228384,30.8027319975917
"LOC100248686",559.07606766957,1348.08713111861,1541.1142697848,1545.10478245984
"LOC100245170",76.4633342993906,184.778339269021,204.68700166065,194.752757146064
"LOC100243546",11.916363786918,3.9737277262155,38.751422644492,16.8918207728729
"LOC100854261",868.901526129439,919.917968618888,309.017754934283,295.11004526725
"LOC100265870",895.713344650004,841.436846026132,412.354881986261,368.639147455049
"LOC100267474",3941.33732252313,3470.05773691768,2449.28863637623,2894.46317125757
"LOC100262315",2236.30427067828,1628.2349358168,2184.98406141636,2140.2930555746
"LOC100854678",516.375764099781,252.331710614684,346.775551357121,406.397335065001
"LOC100261938",16.8815153648005,23.842366357293,43.7195537527602,38.7518241260025
"LOC100260658",326.706973824669,139.080470417542,222.572273650416,237.479127336272
"LOC100255588",283.013639939303,443.070641473028,390.495105109881,484.894619833057
"LOC100251709",2205.52033089541,1528.89174266141,2825.87297438296,3354.51687818935
"LOC100256839",8069.36434437465,8496.82331058029,6315.48826483055,5653.79177633216
"LOC100247315",210.522426902218,434.129754089043,378.571590450038,499.799167573827
"LOC100242180",301.881215935256,404.326796142427,481.908717502016,598.16918266291
"LOC104880669",208.536366271065,101.330057018495,64.5857044074867,58.6245544470294
"LOC100259293",1263.13456141331,1728.57156090374,1036.35214918475,1042.32470533786
"LOC100249070",1139.99880228182,1781.2234532761,1369.21693343872,1969.38757481377
"LOC100243916",872.873647391745,1129.53210617676,1325.49737968596,1290.7338343507
"LOC100261032",1442.87304853266,1427.56168564292,2598.33256962427,2744.42405733382
"LOC100268037",1837.10608381653,1763.34167850813,1540.12064356314,2001.18394332741
"LOC104880619",4327.62611528239,7757.70995350421,1851.12565094073,1846.1766468234
"LOC104880620",810.312737510425,794.7455452431,331.871158032316,336.842778941406
"LOC100245658",194.633941852994,121.198695649573,60.6111995208722,159.975479084267
"LOC100252629",405.156368755213,434.129754089043,99.3626221653642,112.280926313802
"LOC100247522",933.448496641911,1158.34163219182,991.638969210335,1240.05837203208
"LOC100267980",1188.65728774507,1214.96725229039,2321.11085378291,2265.49125659707
"LOC100262830",1065.52152861359,1327.22506055598,2080.65330814273,2086.63668370783
"LOC100257707",463.745157374226,651.691347099342,471.97245528548,621.022822532091
"LOC100252570",52.6306067255546,67.5533713456635,44.7131799744139,80.4845578001591
"LOC100242383",1495.50365525821,1348.08713111861,3109.05644755425,3006.74409757137
"LOC100264670",3269.05579887784,3532.64394860558,3946.68335240827,4356.1024863691
"LOC100242326",1156.88031764662,1657.04446183186,2408.54996128843,2456.26946767893
"LOC100259495",4332.59126686028,4273.74416954477,2538.71499632505,2913.34226506255
"LOC100254378",80.4354555616966,197.692954379221,78.4964715106377,78.4972847680564
"LOC100249279",23605.323631569,27507.1367527952,22849.4285931471,24509.0383049225
"LOC100254319",458.780005796344,359.622359222503,607.105621430375,641.88918936917
"LOC109123360",35.7490913607541,121.198695649573,301.068745161054,317.963685136431
"LOC100249222",91.3587890330381,252.331710614684,723.359889363851,805.839214517642
"LOC100244113",333.658186033705,272.200349245762,96.3817435004033,91.4145594767239
"LOC100261247",830.173343821955,812.627320011069,1135.71477135011,1081.07652946386
"LOC100266386",36.7421216763306,33.7766856728317,23.8470293196874,47.6945527704646
"LOC100256162",1109.21486249895,609.967205974079,552.456179239425,570.347360213473
"LOC100250698",312.804549406598,303.990171055486,93.4008648354423,62.5991005112348
"LOC100245572",563.048188931876,357.635495359395,419.310265537837,216.612760499193
"LOC100267888",4963.16551725135,3435.2876193133,1797.46983497144,1995.2221242311
"LOC100262737",768.605464256212,947.734062702396,1450.69428361432,1451.70294995102
"LOC100256095",1131.06152944164,888.128146809164,869.422943946937,1029.40743062919
"LOC100250946",832.159404453108,902.036193850918,2141.2645076636,2025.03121971264
"LOC100257618",1941.37426695206,2182.56995362386,2122.38560945218,2987.8650037664
"LOC100232962",9848.87466988774,6344.05631490304,6756.65830724476,5744.21269929283
"LOC100247370",7454.6785790328,6580.49311461286,622.01001475518,332.868232877201
"LOC100245800",5347.46824937946,3670.73098709157,191.769860779153,107.312743733545
"LOC100242240",95.3309102953441,45.6978688514782,5.96175732992185,1.98727303210269
"LOC100264520",1528.27365567224,868.259508178086,277.221715841366,352.740963198228
"LOC100259344",4947.27703220213,5141.0102457913,7702.59047025903,7145.24018692523
"LOC100254231",7199.46978792964,10627.7348037633,3624.74845659249,2806.029521329
"LOC100249126",840.10364697772,886.141282946056,954.87479900915,896.260137478314
"LOC100268126",200.592123746453,177.824315748144,14.9043933248046,12.9172747086675
"LOC109121417",21.846666942683,34.7701176043856,4.96813110826821,4.96818258025673
"LOC100261082",755.696070153718,807.6601603533,656.786932513057,806.832851033693
"LOC100266293",152.926668598781,180.804611542805,434.214658862641,383.54369519582
"LOC100255995",1245.26001573293,747.060812528514,986.670838102066,715.418291556969
"LOC100250857",785.486979621013,651.691347099342,875.384701276859,831.673763934977
"LOC100257848",62.5609098813196,56.6256200985708,26.8279079846483,26.8281859333864
"LOC100252701",15.888485049224,46.6913007830321,17.8852719897656,16.8918207728729
"LOC100245716",648.448796071455,792.758681379992,916.123376364658,867.444678512825
"LOC100247308",1282.00213740926,1770.295702029,2323.09810622621,2584.44857824955
"LOC100268031",2129.05699659602,1512.99683175655,1580.85931865094,1641.48752451682
"LOC100262886",30999.4273613516,11398.6379826492,15871.1916384736,14621.3613336956
"LOC100242171",330.679095086975,324.852241618117,318.954017150819,357.709145778485
"LOC100259282",404.163338439636,317.89821809724,85.4518550622132,48.688189286516
"LOC100254165",27.804848836142,59.6059158932325,10.9298884381901,9.93636516051346
"LOC100257759",23.832727573836,19.8686386310775,51.6685635259894,51.66909883467
"LOC100252622",1987.05366146858,2159.72101919812,2595.35169095931,2567.55675747668
"LOC100249061",1684.17941521775,2072.29900922138,429.246527754373,458.066433899671
"CTR1",1189.65031806065,731.165901623652,1010.51786742175,726.348293233534
"LOC100242378",69.5121220903551,84.4417141820793,28.8151604279556,30.8027319975917
"LOC100852952",1182.69910585161,1212.98038842728,968.785566112301,1076.10834688361
"LOC100264662",5656.30067752375,6704.6721060571,318.954017150819,410.371881129206
"LOC100259489",5848.94855874559,3494.89353520653,4719.7245528548,3771.84421493091
"LOC100254375",262.160003312196,462.939280104106,81.4773501755986,37.7581876099512
"LOC100257697",3.97212126230601,16.8883428364159,35.7705439795311,13.9109112247188
"LOC100244107",6760.55038844482,5617.85757293716,12312.0225125103,10978.6898658513
"LOC100252561",349.546671082929,405.320228073981,343.79467269216,313.989139072225
"LOC109121383",544.180612935923,586.124839616786,777.015705333148,684.615559559378
"LOC100266448",679.232735854327,827.528798984377,834.646026189059,795.902849357128
"LOC100264608",1622.611535652,1895.46812540479,3630.71021392241,3803.64058344455
"LOC100261240",363.449095501,349.688039906964,266.291827403176,280.20549752648
"LOC100256155",606.741522817242,649.704483236234,335.845662918931,259.339130689401
"LOC100254310",13.902424418071,7.947455452431,11.9235146598437,21.8600033531296
"LOC100249213",116.184546922451,161.929404843282,88.4327337271741,89.4272864446212
"LOC100244043",617.664856288584,882.167555219841,801.856360874489,990.655606503192
"LOC100251000",2585.85094176121,3754.17926934209,1859.07466071396,1967.40030178167
"LOC100245566",464.738187689803,548.374426217739,633.933529415023,655.800100593889
"LOC100266377",2.9790909467295,30.7963898781701,32.7896653145702,47.6945527704646
"GER6",303.867276566409,225.50904846273,102.343500830325,96.3827420569806
"OPR3",1944.35335789879,1978.91640765532,1789.52082519821,1704.08662502806
"LOC100257610",1404.14486622517,1350.07399498172,2226.71636272581,2919.30408415886
"LOC100261173",476.654551476721,554.335017807062,256.35556518664,301.071864363558
"LOC100252478",1754.68456762368,2112.03628648354,2869.59252813572,3040.52773911712
"LOC100247363",1048.64001324879,842.430277957686,475.946960172094,501.78644060593
"LOC100256088",377.351519919071,311.937626507917,125.196903928359,150.039113923753
"LOC100242235",122.14272881591,149.014789733081,256.35556518664,239.466400368374
"LOC109123347",24.8257578894125,11.9211831786465,29.8087866496093,27.8218224494377
"LOC100254224",3250.18822288189,2204.42545611805,5268.20622720761,4135.5151798057
"LOC100264512",833.152434768685,853.358029204778,8.94263599488278,5.96181909630808
"LOC100259336",2977.10488609835,1725.59126510908,1733.87775678561,1685.20753122308
"LOC100249118",6182.6067447793,3673.71128288623,4975.08649181978,3959.64151646462
"LOC100245792",23.832727573836,5.96059158932325,13.910767103151,1.98727303210269
"LOC100261078",1310.80001656098,748.054244460067,446.138173522485,403.416425516847
"LOC100266287",8766.47162590935,5396.32225220065,3662.50625301532,3898.03605246943
"LOC100268119",270.104245836808,256.3054383409,282.189846949634,374.600966551358
"LOC109123414",2276.02548330134,1489.15446539926,260.330070073254,205.682758822629
"LOC100262967",212.508487533371,216.568161078745,117.24789415513,125.19820102247
"LOC100257841",381.323641181377,455.985256583228,321.93489581578,282.192770558582
"LOC104880623",155.905759545511,92.3891696345103,46.7004324177212,80.4845578001591
"LOC100255989",3567.95792386637,3502.84099065896,5988.5852379065,6369.21006788913
"LOC100242162",126.114850078216,136.100174622881,29.8087866496093,46.7009162544133
"LOC100250851",780.52182804313,679.50744118285,353.730934908696,380.562785647666
"LOC100259274",469.703339267685,832.495958642147,1505.34372580527,1258.93746583706
"LOC100249054",3343.53307254608,3094.54046679032,13043.3314116474,9739.6251303353
"LOC100245712",1502.45486746725,1776.25629361833,3109.05644755425,2689.77404895099
"LOC100852794",2471.65245546991,2109.05599068888,989.651716767027,812.794670130001
"LOC100250779",49.6515157788251,58.6124839616786,41.732301309453,21.8600033531296
"LOC100249046",1042.68183135533,1281.5271917045,1254.94991794855,1454.68385949917
"LOC100262878",723.91910005527,1033.16920881603,997.600726540256,964.821057085857
"LOC100243893",119.16363786918,323.858809686563,61.6048257425258,124.204564506418
"LOC100266217",356.497883291964,619.901525289618,1365.2424285521,1168.51654287638
"LOC100257752",1583.88335334452,1286.49435136227,823.716137750869,759.138298263229
"LOC100261010",127.107880393792,134.113310759773,244.432050526796,177.860936373191
"LOC100252615",1850.01547791902,1605.38600139106,2851.70725614595,2551.65857321986
"LOC100255931",588.866977136865,438.103481815259,670.697699616208,653.812827561786
"LOC100250770",623.623038182043,432.142890225935,942.951284349306,854.527403804158
"LOC100247508",2287.94184708826,2391.19065925018,1485.47120137219,1663.34752786995
"LOC100267957",723.91910005527,919.917968618888,923.078759916233,858.501949868363
"LOC100257683",726.898191001999,1154.3679044656,1429.82813295959,1803.45027663319
"LOC100252546",53.6236370411311,276.174076971977,48.6876848610285,37.7581876099512
"LOC100247440",33811.6892150643,32089.8382530533,7775.12518443975,4758.5252753699
"LOC100242371",1145.95698417528,708.316967197913,1268.8606850517,1340.41566015327
"LOC100242304",186.689699328382,300.01644332927,189.782608335846,297.097318299353
"LOC109121544",455.800914849614,389.425317169119,14.9043933248046,19.8727303210269
"LOC100249200",673.274553960868,777.857202406684,606.111995208722,842.603765611542
"LECY1",426.010005382319,651.691347099342,586.239470775649,824.718308322617
"LOC100254369",1009.9118309413,952.701222360166,1569.92943021275,1395.06566853609
"LOC100249269",1294.91153151176,1047.07725585778,555.437057904386,530.601899571419
"LOC100244028",19336.2863049056,11236.7085778059,15114.0484575735,15194.6896034572
"LOC100266364",2427.95912158455,2750.81301847268,7041.82903285936,6729.90012321577
"LOC100266443",880.817889916357,642.750459715357,1935.58387978129,1376.18657473111
"LOC100261234",4587.80005796344,4334.34351736955,2203.86295962778,2065.77031687075
"LOC100256072",386.288792759259,1239.80305057924,151.031185691354,98.3700150890833
"LOC100256150",282.020609623726,293.062419808393,101.349874608671,76.5100117359537
"LOC100250996",759.668191416024,1216.9541161535,1993.21420063721,1825.31027998632
"LOC100250927",196.620002484147,715.27099071879,749.194171126846,622.016459048143
"LOC100245780",237.334245422784,210.607569489421,156.992943021275,156.000933020061
"LOC100268102",381.323641181377,387.438453306011,551.462553017771,676.666467430967
"LOC100245562",446.863642009426,334.786560933656,224.559526093723,188.790938049756
"LOC100267878",6425.89917209554,7781.5523198615,10222.4265683727,9858.86151226146
"LOC100257827",1472.66395799995,1289.47464715693,1704.068970136,1559.01569368456
"LOC100252681",7.94424252461201,31.789821809724,41.732301309453,37.7581876099512
"LOC100262728",1207.52486374103,1171.25624730202,954.87479900915,947.929236312984
"LOC100257601",900.678496227887,816.601047737285,802.849987096143,728.335566265637
"LOC100247581",567.020310194182,965.615837470366,902.212609261507,997.611062115552
"LOC100242449",50.6445460944016,129.146151102004,64.5857044074867,42.7263701902079
"LOC100252472",1502.45486746725,1341.13310759773,1336.42726812415,1251.9820102247
"LOC100247359",2936.39064315972,2239.19557372243,2956.03800941958,3183.61139742851
"LOC100259266",1406.13092685633,1409.67991087495,1384.12132676352,1362.2756635064
"LOC100254143",744.772736682376,1000.38595507475,2726.51035221759,2721.57041746464
"LOC100242227",3021.79125029929,1500.08221664635,2366.81765997897,2124.39487131778
"LOC100264505",5411.02218957636,4966.16622583782,4690.90939242684,4443.54249978162
"LOC104880632",1508.41304936071,945.747198839289,2523.81060300025,1462.63295162758
"LOC100243887",1742.76820383676,1931.23167494073,718.391758255583,820.743762258412
"LOC100266211",43.6933338853661,65.5665074825557,43.7195537527602,70.5481926396456
"LOC100259328",2608.69063901947,2764.72106551443,2629.13498249554,3687.38511106655
"LOC100261004",368.414247078882,453.998392720121,655.793306291404,598.16918266291
"LOC100254220",322.734852562363,288.095260150624,285.170725614595,353.734599714279
"LOC100255927",567.020310194182,564.269337122601,493.83223216186,432.231884482336
"LOC100250764",420.05182348886,287.10182821907,230.521283423645,271.262768882018
"LOC100243951",2114.16154186237,2468.67834991138,1988.24606952894,1962.43211920141
"LOC100266280",351.532731714082,746.06738059696,304.049623826014,220.587306563399
"LOC100261071",852.020010764638,850.377733410117,1030.39039185483,1136.72017436274
"LOC100255983",1108.22183218338,1195.09861365931,505.755746821704,533.582809119573
"LOC100245630",311.811519091021,330.81283320744,376.58433800673,448.130068739157
"LOC100250844",289.964852148338,165.903132569497,138.114044809856,162.956388632421
"LOC100854448",495.522127472674,317.89821809724,99.3626221653642,85.4527403804158
"LOC100245702",218.46666942683,263.259461861777,368.635328233501,316.970048620379
"LOC100268021",100.296061873227,99.3431931553875,111.286136825208,71.5418291556969
"LOC100262870",766.619403625059,579.170816095909,484.889596166977,549.480993376395
"LOC100262802",242.299397000666,250.344846751576,157.986569242929,166.930934696626
"LOC100257676",7581.78645942659,7620.61634694977,661.755063621325,641.88918936917
"LOC100252607",786.480009936589,923.891696345103,420.303891759491,395.467333388436
"LOC100247499",626.602129128773,629.835844605156,866.442065281976,1106.9110788812
"LOC100242296",428.989096329049,463.932712035659,169.910083902773,177.860936373191
"LOC100242363",1285.97425867157,1684.86055591537,203.693375438997,280.20549752648
