"","Row.names","A1_A","A1_B","F1_A","F1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1201","LOC100259485",878.831829285204,925.878560208211,2999.75756317234,3072.32410763076,1969.19801507413,1.75042434529545,0.233935047250333,7.48252288774125,7.29091915374623e-14,1.67616148224868e-12
"1202","LOC100259493",86.3936374551556,149.014789733081,259.336443851601,290.141862686993,196.221683431708,1.22290474823904,0.411463780137158,2.97208358857589,0.00295786142812094,0.0100728526304521
"1203","LOC100259525",2778.49882298305,3043.87543828107,5896.17799929271,7306.20930252555,4756.1903907706,1.18111976826949,0.242212195012876,4.87638439594959,1.08047961350711e-06,8.68702154488773e-06
"1204","LOC100259551",5404.07097736732,6128.48158575585,19054.7700526519,16642.418007344,11807.4351557798,1.63009893757843,0.230796375512097,7.06293126987597,1.63026370540351e-12,3.256641975958e-11
"1205","LOC100259555",1484.58032178687,1435.50914109535,8783.65579941819,5787.93270599909,4372.91949207488,2.3190738311384,0.277860240502232,8.34618809422565,7.05014951576587e-17,2.14230827279677e-15
"1206","LOC100259633",1986.060631153,2398.14468277105,4712.76916930322,4528.00160364598,3406.24402171832,1.07569853928384,0.238680486049933,4.50685582674236,6.57953063858565e-06,4.48201281157429e-05
"1207","LOC100259635",8957.13344650004,10709.1962221508,40244.8428556375,36202.1528258148,24028.3313375258,1.95873242804087,0.232654971055835,8.41904395660126,3.79568981640214e-17,1.18012513673486e-15
"1208","LOC100259639",1955.27669137013,1773.27599782367,3937.74071641338,3718.18784306414,2846.12031216783,1.03796158492087,0.231501791441597,4.48360066009564,7.33939565387251e-06,4.94438322080708e-05
"1209","LOC100259648",6710.898872666,4794.302501679,11959.2852038232,11415.8899329139,8720.09412777054,1.02269101839345,0.257903798571872,3.96539726850301,7.32738060691412e-05,0.000391286403739539
"1210","LOC100259655",20054.2472230674,11577.4557303289,36371.6878436316,30727.2156223718,24682.6516048499,1.08491839895846,0.304626962630483,3.56146543822017,0.000368790660322672,0.00164601573619944
"1211","LOC100259666",2396.1821514861,1776.25629361833,9776.28839485018,8144.83852207289,5523.39134050687,2.10269830415821,0.262271081878389,8.01727086760252,1.08120518857839e-15,2.9753110223588e-14
"1212","LOC100259706",3866.8600488549,2232.24155020156,10907.035035092,9105.68503309454,6527.95541681075,1.71424844733211,0.308285208831463,5.56059258836927,2.68860168744448e-08,2.88755534141127e-07
"1213","LOC100259713",2539.17851692911,2632.59461861777,6139.61642359785,4789.32800736749,4025.17939162806,1.07942352414699,0.246348955089526,4.38168501163207,1.1776498181043e-05,7.59282171185451e-05
"1214","LOC100259734",1278.03001614696,1952.09374550336,3650.58273835548,3718.18784306414,2649.72358576749,1.1898358017667,0.281811779937866,4.22209391683,2.42043211120987e-05,0.000144865850488241
"1215","LOC100259738",769.598494571789,1488.1610334677,3633.69109258737,3264.09595522867,2288.88664396388,1.61124366196668,0.334062672357379,4.82317779055235,1.41288924833286e-06,1.10805770446253e-05
"1216","LOC100259744",142.996365443016,203.653545968544,397.450488661457,468.002799060184,303.0257997833,1.31998170349792,0.348388298185669,3.78882330540981,0.000151362518178311,0.000748294031868984
"1217","LOC100259774",6261.05613970984,5885.09076252515,32190.508702913,26825.2050238382,17790.4651572466,2.28060057753544,0.231065190383312,9.86994438128986,5.61957615032853e-23,2.90599984164547e-21
"1218","LOC100259786",736.828494157764,734.146197418313,2028.98474461674,2095.57941235229,1398.88471213628,1.48746941785572,0.239943021996472,6.19926099737789,5.67288912182382e-10,7.99690522597113e-09
"1219","LOC100259793",1.986060631153,0.993431931553875,38.751422644492,37.7581876099512,19.8722757042875,4.68243397732665,1.22781428661309,3.81363372977446,0.0001369383719498,0.000683875940948903
"1220","LOC100259809",22.8396972582595,33.7766856728317,82.4709763972523,98.3700150890833,59.3643436043567,1.67544158407149,0.588430948294879,2.84730364527305,0.00440912847077599,0.0141675266602603
"1221","LOC100259813",1212.49001531891,1435.50914109535,2654.96926425853,2901.41862686993,2051.09676188568,1.06924553531952,0.244725891985081,4.3691557384729,1.2472779597363e-05,8.00582113530807e-05
"1222","LOC100259814",3434.89186157912,3465.09057725991,7648.93465428974,6935.5828820384,5371.12499379179,1.07977332658841,0.224514938316349,4.80936072532944,1.51413749795118e-06,1.17964329623493e-05
"1223","LOC100259819",131.080001656098,243.390823230699,456.074435739022,366.651874422947,299.299283762191,1.1355657668256,0.395519061271031,2.87107721983454,0.00409075581588164,0.0132982617957781
"1224","LOC100259827",3985.0306564085,4218.11198137775,8647.52900705165,9691.93057756483,6635.65055560068,1.16070283521955,0.225985238979552,5.13618871949675,2.80366124501651e-07,2.4955066196793e-06
"1225","LOC100259834",2570.95548702756,2478.61266922692,7438.28589529916,7686.77208817321,5043.65653493171,1.58270886883438,0.222048888607172,7.12774956345024,1.0202318371002e-12,2.08355163808198e-11
"1226","LOC100259839",134.059092602828,60.5993478247863,210.648758990572,210.650941402885,153.989535205268,1.11389249637713,0.477346771123086,2.33350797315839,0.0196215003509033,0.0495737378873111
"1227","LOC100259857",130.086971340522,152.988517459297,382.546095336652,366.651874422947,258.068364639854,1.40416335694624,0.336246664036573,4.17599193428283,2.96690331846317e-05,0.000174185703308323
"1228","LOC100259860",24.8257578894125,39.737277262155,126.190530150013,173.886390308986,91.1599889026414,2.21656644444668,0.525660773691258,4.21672408401652,2.47876959999688e-05,0.000148093048035454
"1229","LOC100259877",1901.653054329,2326.61758369917,4894.60276786584,4488.25614300393,3402.78238722449,1.14996059583618,0.24260995411208,4.739956363476,2.1376425068969e-06,1.6129592300173e-05
