"","A1_A","A1_B","AF_A","AF_B"
"LOC100244340",464.884638751964,460.685287811636,498.822983830426,404.496212066555
"LOC100240823",460.868356775705,889.253082791088,864.158126917499,931.445371706609
"LOC104879235",104.423331382731,72.2643588724135,83.3044419676567,73.2710260070931
"LOC100263086",592.401591498183,315.152898415803,298.089388727639,283.046977178086
"LOC100261468",943.826264420834,1685.16470203864,2191.00719054692,1877.94643368865
"LOC100256384",186.757111896037,166.609494066953,188.68957939662,193.716548210534
"LOC100251002",270.094962903409,267.980330818533,173.634559763911,250.928171257168
"LOC100257952",513.080022467071,484.773407435774,451.650588981271,506.87490593948
"LOC100252802",268.08682191528,205.752688456177,184.674907494564,247.917033202082
"LOC100245862",279.131597349991,226.829793127298,225.825294490636,258.957872737398
"LOC100240766",157.639067568161,233.855494684338,147.539192400549,179.664570620132
"LOC100257896",851.45177896688,1314.80986281752,1975.21857581143,1959.24716117597
"LOC100252748",3.01221148219415,10.0367165100574,37.1357150940156,22.0816790706308
"LOC100247638",399.620056637758,526.927616778015,534.955030948928,505.871193254451
"LOC104879236",9.03663444658246,23.0844479731321,24.0880314123345,16.0594029604588
"LOC104879237",26.1058328456827,27.099134577155,41.1503869960714,31.1150932358889
"LOC100264795",75.3052870548538,48.1762392482756,56.2054066287804,64.2376118418351
"LOC100247694",4408.87353943817,3769.79072117757,3411.46744877187,3213.88801746181
"LOC100259613",178.72454794352,195.71597194612,167.612551910827,179.664570620132
"LOC100242558",888.602387247275,844.087858495829,789.886696729467,908.359979950949
"LOC100264848",1385.61728180931,1791.55389704525,1314.80504792326,1583.85861697525
"LOC100249446",3028.27661009919,2938.75059414481,3305.07864336739,3009.13062971596
"LOC100244281",6177.04167948614,9577.03489389679,10142.0648925683,7215.69049267113
"LOC100266621",1201.87238139547,1635.98479113936,2096.66240084861,1533.67298272381
"LOC100261415",2912.80850328174,2674.7849499303,3608.1863719726,2553.44507071294
"LOC100256322",2550.33905492438,2125.77655683016,1801.58401604751,1883.96870979882
"LOC104879239",50.2035247032359,92.3377918925283,49.1797308001829,66.2450372118924
"LOC100251170",1240.02706016993,1233.51245908606,1292.72435246195,814.010987558254
"LOC100246027",751.044729560409,457.674272858619,562.054066287804,479.774663443706
"LOC100244223",779.158703394221,693.537110844968,572.090746042943,579.142219261544
"LOC100266564",796.227901793321,1126.11959242844,1061.88071809374,1200.44037129429
"LOC100261360",856.472131437204,653.390244804738,848.099439309276,696.576603409899
"LOC100256268",1536.22785591902,1594.83425344812,1613.89810462641,1594.89945651056
"LOC100251108",879.565752800692,586.144244187354,579.116421871541,670.480073599154
"LOC100240938",2453.94828749417,3457.64883771478,3894.23174499407,3689.6478301654
"LOC100245973",3029.28068059325,2264.28324466895,1734.33826168808,2903.74079778795
"LOC100263193",14086.1049612339,16613.7768390981,27168.2884291867,18833.664821878
"LOC100258055",323.310699088839,292.068450442671,429.569893519964,322.191771894204
"LOC100855402",755.061011536667,1315.81353446853,1660.06683150005,1211.48121082961
"LOC100232960",2511.18030565586,3600.1702121576,5837.33294558905,2808.38809271023
"LOC100247810",149.606503615643,256.93994265747,234.858306270261,288.065540603229
"LOC100242610",6239.29405011815,3414.49095672154,2554.33499768297,3043.25686100694
"LOC100259712",355.44095489891,564.063467865227,433.58456542202,922.41195754135
"LOC100254600",6790.52875135968,7037.74561685227,7520.48414052592,6351.49387086144
"LOC100242676",2256.14640016342,2101.68843720602,2253.23460502879,2233.2607241888
"LOC100249490",131.533234722478,101.37083675158,79.2897700656009,104.386119242982
"LOC100244334",973.948379242776,1022.74141237485,1012.70098729356,981.631005958042
"LOC100266667",350.420602428586,494.810123945831,461.68726873641,506.87490593948
"LOC100259554",868.52097736598,738.702335140227,794.905036607037,789.921883117566
"LOC104879242",751.044729560409,333.218988133907,255.935333756054,296.095242083459
"LOC100249323",2668.81937322402,4603.84186316334,3522.87459405391,4773.65752999637
"LOC100244166",3166.83833828012,1413.16968461609,1371.01045455204,1228.5443264751
"LOC100266511",3392.75419944468,1630.96643288433,1425.20852522979,1801.66426962647
"LOC100251222",1614.54535445607,1812.63100171637,2084.61838514244,1760.51204954029
"LOC100261307",148.602433121578,78.2863887784479,79.2897700656009,87.3230035974945
"LOC100256211",1759.13150560138,1004.67532265675,994.63496373431,1039.84634168971
"LOC100263026",85.345991995501,149.547075999856,98.3594616003657,140.519775904014
"HP3",2047.29973739796,1755.42171760904,1413.16450952362,2092.74094828478
"LOC100245913",2826.45844079218,2326.51088703131,2348.58306270261,2379.80277620298
"LOC100257889",262.062398950891,376.376869127153,322.177420139973,304.124943563688
"LOC100252741",1996.09214220066,1793.56124034726,1530.59366265875,1875.93900831859
"LOC100240820",46.187242726977,29.1064778791665,30.1100392654181,31.1150932358889
"LOC100257948",144300.995125005,107691.960809614,82803.6116478752,87048.9900344817
"LOC100264790",313.269994148192,158.580120858907,169.619887861855,217.805652651222
"LOC100259606",131.533234722478,132.484657932758,133.487840743353,113.41953340824
"LOC100252797",1381.60099983305,986.609232938645,921.367201521793,853.155782274372
"LOC100247690",33.1343263041357,36.1321794362067,38.1393830695296,58.215335731663
"LOC100249384",635.576622742966,864.161291515944,992.627627783282,842.114942739057
"LOC100852500",759.077293512926,298.090480348706,192.704251298676,231.857630241623
"LOC100242556",2206.94694595425,1590.8195668441,1833.70139126396,1347.98613599351
"LOC100266559",1558.31740678844,1550.67270080387,1852.77108279873,1464.41680745683
"LOC100264845",830.366298591521,1197.38027964985,1227.48593405354,1281.74109878162
"LOC100261356",181.736759425714,110.403881610632,60.2200785308361,143.5309139591
"LOC100259662",609.470789897283,941.444008643386,1020.73033109767,851.148356904315
"LOC100254543",1058.29030074421,1037.79648713994,1505.5019632709,828.062965148655
"LOC100249442",996.0379301122,859.142933260916,792.897700656009,869.215185234831
"LOC100244278",2154.73528026288,2092.65539234697,2383.7114418456,2082.7038214345
"LOC100266616",7387.95069532819,6924.33072028862,7756.3461147717,7102.27095926289
"LOC104879243",264.070539939021,254.932599355459,264.968345535679,241.89475709191
"LOC100245967",418.697396024987,380.391555731176,628.296152671724,408.51106280667
"LOC100240872",478.94162566887,322.178599972843,274.001357315304,401.485074011469
"LOC100263132",8.03256395251774,26.0954629261493,36.1320471185017,30.1113805508602
"LOC100261413",564.287617664371,730.672961932181,571.087078067429,767.840204046935
"LOC100257995",1049.25366629763,1349.93837060272,1795.56200819443,1434.30542690597
"LOC100256318",237.964707093338,486.780750737785,401.467190205574,589.179346111831
"LOC100251166",801.248254263644,805.948335757611,695.541907031158,818.025838298369
"LOC100240933",1668.76516113556,1466.36428211939,1466.35891222586,1487.50219921249
"LOC100246022",4549.44340860723,4714.24574477397,5153.83505426406,5410.01137230455
"LOC104879244",14433.5133521803,9374.29322039363,12358.1637825031,7508.7745966995
"LOC100263189",1051.26180728576,759.779439811347,680.486887398448,808.99242413311
"LOC100247741",1226.97414374708,1412.16601296508,1742.36760549219,1214.49234888469
"LOC100264888",864.504695389722,973.56150147557,801.930712435635,863.192909124659
"LOC100259704",1440.84115898287,1165.26278681767,1146.18882803691,1208.47007277452
