ID,A1_A,A1_B,AF_A,AF_B
LOC100258241,45.87499381,84.67279207,84.69043198,111.0514863
LOC100263381,1114.106992,1618.087752,2243.820659,1805.679678
LOC100263279,1032.842718,960.2452903,797.4222697,1109.640441
LOC100241107,727.4463303,943.496826,774.5844004,975.8540052
LOC100232921,994.8320085,2127.054974,2587.340276,1717.363142
LOC100251265,5.242856435,59.55009552,158.9135072,23.60937109
LOC100246227,589.8213489,490.3578178,1147.602932,1039.686749
LOC100261507,176.9464047,85.60326232,104.6735676,141.6562266
LOC100256508,5746.170653,2999.836062,2667.272819,2871.599062
LOC100266710,513.7999306,504.3148715,384.4374665,460.8199469
LOC100261608,509.8677883,290.3067157,260.7323412,282.438032
LOC100249546,538.7034987,321.9427039,202.68609,259.703082
LOC104877280,16246.30138,12874.91675,12524.66815,13369.02499
LOC100266798,326.3678131,364.7443351,266.4418085,336.6521434
LOC100265120,863.7605977,1327.781036,1471.139414,1331.743414
LOC109121733,6.553570544,14.88752388,29.49891451,9.618632667
LOC100242834,250.3463948,178.6502866,230.2818488,146.0283323
LOC109124087,11.79642698,14.88752388,11.41893465,12.24189612
LOC100253102,1428.678379,908.1389567,721.2960387,987.2214801
LOC100244482,967.3070122,784.3864145,1493.977283,772.1138768
LOC100260287,30.1464245,24.19222631,45.6757386,42.84663643
LOC100249633,5274.313574,3747.003667,3892.905138,3138.297513
LOC104881936,27.52499628,60.48056577,238.8460498,53.33969025
LOC100265040,56.36070668,36.28833946,44.72416071,34.97684606
LOC100254752,49.80713613,77.22903013,141.7851052,90.06537861
LOC100242751,57.67142078,120.9611315,107.5283013,129.4143304
LOC100259865,3675.242361,3105.90967,3634.075952,3121.683511
LOC100247896,1104.931994,1502.709442,1513.008841,1571.334809
LOC100253017,647.4927697,932.331183,892.5800584,1083.407807
LOC100258149,2283.263977,1820.930265,1450.204701,1705.121246
LOC100265051,7122.420467,5639.58014,4746.470503,5626.90011
LOC100263283,23124.92902,19232.81991,21687.41163,17744.62843
LOC100241023,1769.464047,2322.453725,3310.539471,2039.150125
LOC100854918,1136.389132,2362.463946,1860.33477,2046.145495
LOC100242765,308.0178156,263.3230786,356.8417078,264.0751878
LOC100247907,664.5320531,1046.779023,897.3379479,1003.835482
LOC100246127,60.292849,102.3517267,72.31991945,98.80959013
LOC100263296,2127.288998,2269.416922,2498.843532,2283.988048
LOC100253030,1693.442628,1340.80762,1292.242771,1490.013642
PIP1%3B3,58501.10282,70560.3499,78003.69417,63553.80372
LOC100241031,7258.734734,6802.667943,7094.964729,7480.672952
LOC104881633,258.2106794,258.6707274,166.5261303,260.5775032
LOC100242838,651.424912,1201.237083,1170.440802,991.5935859
LOC100247977,335.5428118,395.4498531,413.936381,476.5595276
LOC100246139,4436.767258,4040.101793,3819.63364,3600.866302
LOC109121740,204.471401,194.4682807,124.6567033,150.4004381
LOC100258234,401.0785173,535.0203895,445.3384513,751.1277692
LOC100263372,875.5570246,577.8220206,554.7699084,643.5739676
LOC100251282,3295.135269,2801.6459,2763.382185,2702.83578
LOC100256435,1123.281991,2032.14701,1790.869584,2576.044713
LOC100853340,196.6071163,318.220823,265.4902306,291.1822435
LOC109121741,310.6392438,359.1615136,376.8248434,400.4848874
LOC100251356,2633.224644,3745.142726,4633.232734,3481.945026
LOC100261521,1707.860484,2069.365819,2412.249945,1668.395557
LOC100266723,4139.235155,2813.742013,4234.521599,2846.240848
LOC100244399,735.310615,1292.423167,1111.442973,1142.868445
LOC100256502,1508.631939,2060.061117,2227.643835,2200.043617
LOC100261599,1477.174801,2272.208332,2456.974105,2113.475923
LOC100266792,551.8106398,361.0224541,237.8944719,326.1590895
LOC100249560,4497.060107,4722.136481,3730.185319,4586.33894
LOC100254672,2175.78542,1426.410882,1119.055596,1379.836577
LOC100259774,8427.891719,7710.8069,8717.405027,7130.904491
LOC100264973,1635.771208,2218.241058,1569.151936,2428.267538
LOC100242689,3747.331637,2456.44144,2621.59708,2539.319024
LOC100259857,175.6356906,200.9815724,270.24812,306.9218242
LOC100265045,258.2106794,409.4069067,296.8923009,291.1822435
LOC100253117,4367.29941,4204.795026,4428.643488,4657.167053
LOC100247899,323.7463849,197.2596914,246.4586729,188.8749687
LOC100247828,5199.602869,4269.927943,2508.359311,5566.565051
LOC100258154,3545.481664,3601.850309,3316.248938,2827.878004
LOC100258246,1827.135468,1725.09183,1459.720479,1657.902503
LOC100263289,204.471401,336.8302278,506.2394361,287.6845589
LOC100246131,1.310714109,7.44376194,21.88629141,16.61400188
LOC100261513,407.6320878,630.8588245,630.8961394,691.6671309
LOC100263385,254.2785371,119.100191,86.59358776,81.3211671
LOC100241111,2922.892462,1856.288134,1709.033886,1682.386296
LOC104881671,107.4785569,109.7954886,108.4798792,83.0700094
LOC109123773,465.3035086,338.6911683,373.9701098,314.7916146
LOC104881672,3.932142326,27.91410728,38.0631155,29.73031915
LOC104881675,166.4606918,166.5541734,228.378693,161.767913
LOC100259920,453.5070816,475.4702939,415.8395368,509.7875314
LOC100244522,241.171396,250.2964952,230.2818488,275.4426627
LOC104881679,24.90356807,19.53987509,20.93471352,17.48842303
LOC100254793,909.6355915,1164.018273,1031.51043,962.7376879
LOC104881682,176.9464047,59.55009552,81.83569832,81.3211671
LOC100265107,870.3141682,776.0121823,661.3466318,845.5652536
LOC100265091,992.2105803,1472.003924,1558.68458,1513.623013
LOC109121805,153.3535507,138.6400661,123.7051254,130.2887516
LOC100247949,199.2285445,352.6482219,363.502753,587.6110139
LOC100247960,748.4177561,410.337377,538.5930843,546.5132197
LOC104881692,197.9178304,107.9345481,108.4798792,102.3072747
LOC100253084,276.5606769,177.7198163,224.5723814,226.4750783
LOC100263341,132.382125,275.4191918,363.502753,264.0751878
LOC100251323,3549.413806,4173.159038,4500.963408,3769.629584
