"","F1_A","F1_B","AF1_A","AF1_B"
"LOC104880102",228.614796126798,137.132839313878,306.143568871339,418.499654759672
"LOC109123002",436.356067389844,509.776424405939,1107.28550559309,1359.87536273452
"LOC100265754",2129.09953610261,2344.17657928579,1781.19894616052,1924.50197533189
"LOC104880100",31.8072759828588,7.9497298152973,16.897534645496,12.9227921897286
"LOC100255467",119.277284935721,52.6669600263446,695.780838343952,834.017126706329
"LOC100243579",5043.44119803205,5635.36472281887,4005.70968360876,3778.4256240891
"LOC100250284",61.626597216789,104.340203825777,104.367125751593,112.328885956872
"LOC100245162",359.81980955609,320.970341292628,278.312335337581,268.396453171286
"LOC100267468",163.012289412151,127.195677044757,313.101377254779,269.390514108957
"LOC100265905",3783.07788721127,4689.34687479849,3701.55405998983,2917.56885206565
"LOC100260694",473.133230245025,290.165138258351,343.914528667154,323.069804743215
"LOC100262307",938.314641494335,814.847306067973,753.43125066388,818.112151703587
"LOC100255622",188.855701148224,250.416489181865,167.981373828754,149.109140650714
"LOC100257201",112.31944331447,74.5287170184122,24.8493156551412,37.7743156315143
"LOC100246940",7.9518189957147,4.96858113456081,205.752333624569,377.743156315143
"LOC100241812",71.5663709614323,61.6104060685541,182.890963221839,193.841882845929
"LOC100245312",250.482298365013,256.378786543338,1008.88221559873,1380.75064242562
"LOC109123059",7.9518189957147,30.805203034277,41.7468503006371,35.7861937561715
"LOC100267614",9849.32180356712,10625.8076143718,4190.58859208301,2924.52727862935
"LOC100258924",159.036379914294,166.944326121243,78.5238374702461,92.4476672034429
"LOC100253778",27.8313664850015,19.8743245382432,20.8734251503186,23.8574625041143
"LOC100262460",101.385692195362,108.315068733426,43.7347955530484,22.8634015664429
"LOC100257347",1237.5018312081,1117.93075527618,1064.54468266625,902.607331405658
"LOC100252000",3446.11955726786,3487.94395646169,2956.07459033559,2926.51540050469
"LOC100246864",182.891836901438,238.491894458919,319.065213012013,379.731278190486
"LOC100241741",816.055424435221,1097.06271451103,1398.51948507134,1736.62445811199
"LOC104880098",4.96988687232169,9.93716226912162,22.8613704027299,18.8871578157572
"LOC100264021",92.4398958251834,71.5475683376757,231.595621905916,235.592442228129
"LOC104880097",242.530479369298,310.039462796595,407.528776744315,305.176707865129
"LOC100255580",771.326442584326,606.166898416419,809.093717731396,792.266567324129
"LOC100233040",178.915927403581,117.258514775635,156.053702314286,135.192287523314
"LOC100253701",4349.64499065594,4165.65842321578,4118.02859036999,4246.62832573235
"LOC100250397",3109.16122732445,3443.22672625064,3344.717887182,3021.94525052115
"LOC100245270",1827.92439163992,1871.1676552756,1429.33263648372,1263.45145178039
"LOC104880196",122.259217059114,73.5350007915,147.107948678436,134.198226585643
"LOC100256619",187.86172377376,269.297097493196,393.613159977436,438.3808735131
"PDS1",1275.27297143775,1547.21616530224,1229.54413861638,1015.9302783002
"LOC100265284",1396.53821112239,1420.02048825748,4698.50860407409,7185.07245748909
"LOC100246343",22.8614796126798,10.9308784960338,65.6021933295727,46.7208640705572
"LOC100249831",1637.08073574276,1483.61832677986,2211.58909330756,2683.96453171286
"LOC100233125",14435.5334093456,12936.1978419425,8485.5443099176,10785.561173735
"LOC100256558",1073.49556442148,1106.00616055324,686.835084708102,924.476672034429
"LOC100254979",1138.10409376167,1087.12555224191,1078.46029943313,1054.69865486939
"LOC100241217",2309.00944088066,2442.5544857501,1917.37319595069,1791.29780968392
"LOC100267019",27.8313664850015,2.98114868073649,161.023565445315,425.458081323372
"LOC100258348",34.7892081062518,39.7486490764865,92.4394542371251,168.990359404143
"LOC100854504",153.072515667508,104.340203825777,136.174249790174,209.746857848672
"LOC100261654",4882.41686336883,4722.1395102866,2800.02088802131,2715.77448171835
"LOC100248091",1522.77333767937,1742.97826200393,1327.94742861074,1119.31261581803
"LOC100251413",102.379669569827,117.258514775635,621.232891378529,764.432861069329
"LOC100232847",736.537234478074,741.312305276473,1619.181408089,2287.33421758196
"LOC100241156",8111.84935300346,8831.15610856839,5784.92068451686,6200.95212919438
"LOC100263432",1803.07495727831,1628.70089590903,2338.81758946189,3158.13159898213
"LOC100260045",193.825588020546,219.611286147588,706.714537232215,1220.70683146052
"LOC100258290",119.277284935721,102.352771371953,164.005483323932,194.8359437836
"LOC100254952",950.242369987907,1368.34724445805,972.105228429122,1050.7224111187
"LOC100244672",2334.85285261673,2168.28880712234,2058.51730887189,2219.7380738203
"LOC100253160",180.90388215251,125.208244590932,471.143024821476,854.892406397429
"LOC100251584",2421.32888419513,2448.51678311157,2254.32991623441,1735.63039717432
"LOC100852502",268.373891105371,304.077165435122,3446.10309505498,5097.54448837909
"LOC100248027",38449.0327990295,37587.3162829525,29017.0428768214,26583.1775952094
"LOC104880197",54.6687555955386,39.7486490764865,22.8613704027299,19.8812187534286
"LOC100253135",31.8072759828588,23.8491894458919,88.4635637323025,106.364520330843
"LOC100242873",7.9518189957147,10.9308784960338,5.96383575723388,15.9049750027429
"LOC100254856",7.9518189957147,1.98743245382432,27.8312335337581,20.8752796911
"LOC100265188",2218.5574998044,1303.75568970876,1093.36988882621,907.577636094015
"LOC100259984",1.98795474892868,0.993716226912162,19.8794525241129,43.7386812575429
"LOC100249754",2053.55725564332,2803.27347611921,2239.42032684132,2435.449297295
