"","Row.names","F1_A","F1_B","AF1_A","AF1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1586","LOC100254248",235.572637748048,276.253111081581,941.292077016747,1244.56429396463,674.420529952752,-2.09447144551053,0.253209926794154,-8.27167983510068,1.32084607244138e-16,2.62731558899223e-15
"1587","LOC100254250",520.844144219313,549.525073482426,1120.20714973376,1077.56205643583,817.034605967833,-1.03793071160221,0.205607166950204,-5.04812515535312,4.46166839679158e-07,2.75812228165297e-06
"1588","LOC100254252",6.95784162125037,0.993716226912162,35.7830145434033,20.8752796911,16.1524630206665,-2.83302575496161,1.08951887232531,-2.60025395330254,0.00931547944481133,0.0213300406394897
"1589","LOC100254254",21.8675022382154,29.8114868073649,54.6684944413106,111.3348250192,54.4205771265227,-1.68355278548748,0.588312815100163,-2.86166260920365,0.00421425260262802,0.0106635334739264
"1590","LOC100254268",64.608529340182,57.6355411609054,182.890963221839,265.414270358272,142.637326020299,-1.87471760583682,0.377437111313498,-4.96696681286247,6.80082210224859e-07,4.058286495301e-06
"1591","LOC100254284",104.367624318755,99.3716226912162,245.511238672795,361.8381813124,202.772166748792,-1.57580222632641,0.338000887788722,-4.66212451877171,3.12961730625596e-06,1.6522312877082e-05
"1592","LOC100254286",126.235126556971,130.176825725493,646.08220703367,866.821137649487,442.328824241405,-2.56078293554242,0.273501898712761,-9.36294390494094,7.75453482308331e-21,2.19833543987353e-19
"1593","LOC100254294",11.9277284935721,12.9183109498581,104.367125751593,137.180409398657,66.5983936484201,-3.28121346519546,0.534969355260949,-6.13346060466387,8.5987719395827e-10,8.01820792981224e-09
"1594","LOC100254308",620.241881665747,604.179465962595,1366.71236103276,1620.31932840443,1052.86325926638,-1.2866121670834,0.210099379061625,-6.12382660448519,9.1354311475918e-10,8.46464484965636e-09
"1595","LOC100254316",84.4880768294687,67.572703430027,900.539199342316,835.011187644001,471.902791811453,-3.51267976296061,0.264924917734719,-13.2591520382315,3.99386140973033e-40,3.61709536877701e-38
"1596","LOC100254320",7.9518189957147,1.98743245382432,166.987401202549,273.366757859643,112.573352627933,-5.46945703084039,0.638247841642416,-8.56948770365713,1.03946419351353e-17,2.29264580957273e-16
"1597","LOC100254325",17.8915927403581,37.7612166226622,73.5539743392178,77.5367531383715,51.6858842101524,-1.44087290152521,0.574786665762717,-2.50679597727486,0.0121831010601147,0.0269899918782828
"1598","LOC100254330",0,6.95601358838514,24.8493156551412,43.7386812575429,18.8860026252673,-3.30154454030608,1.1505319831721,-2.86958084485708,0.00411016246462839,0.0104349795740528
"1599","LOC100254332",9.93977374464338,8.94344604220946,61.6263028247501,143.144775024686,55.9135744090722,-3.43883519156255,0.661973400076458,-5.19482382700781,2.04913796212623e-07,1.34817601442622e-06
"1600","LOC100254364",449.277773257881,382.580747361183,2012.79456806643,2293.29858320799,1284.48791797337,-2.37197060714455,0.2124489314924,-11.1648977967649,6.05608118824416e-29,3.0233138966093e-27
"1601","LOC100254365",34.7892081062518,30.805203034277,246.505211299,426.452142261043,184.637941175143,-3.35887209868748,0.408193953365071,-8.22861796701689,1.89385734960407e-16,3.72010290131441e-15
"1602","LOC100254375",89.4579637017904,40.7423653033987,590.419739966154,502.994834461743,305.903725858272,-3.07004912000377,0.376450924187795,-8.1552439448183,3.48475777807701e-16,6.62265758604274e-15
"1603","LOC100254378",86.4760315783974,85.459595514446,187.860826352867,362.832242250072,180.657173923946,-1.67937819874597,0.401780095045546,-4.17984419699934,2.91708885865141e-05,0.00012609709558369
"1604","LOC100254380",14.9096606169651,3.97486490764865,73.5539743392178,34.7921328185,31.8076581705829,-2.5203999319932,0.827145000215709,-3.04710773967794,0.00231054876645723,0.00629305550922776
