ID,F1_A,F1_B,AF1_A,AF1_B
LOC100254393,118.4633322,142.8263699,340.2770319,314.6916963
LOC100259515,9433.68564,17002.33074,26033.56697,37695.62251
LOC100245826,1301.428157,1163.585461,1644.40854,2473.106508
LOC100264688,225.247181,219.7328768,371.9307093,341.3479341
LOC100242403,155.1702802,190.7680885,116.3272644,117.731717
LOC100247539,702.4375052,597.2739106,895.0077281,868.5490818
LOC100252644,10.01098582,29.96357411,51.43722575,54.79337771
LOC100263656,0.0,0.998785804,10.28744515,19.99217835
LOC109122913,206.893707,255.6891657,310.9973803,203.6240388
LOC100257784,0.0,10.98664384,42.73246447,31.09894411
LOC100268058,155.1702802,166.7972292,193.878774,286.5545564
LOC100245736,380.4174612,349.5750313,1012.126334,1241.736411
LOC100250885,572.2946895,771.0626405,1020.831096,1373.536698
LOC100264630,2050.583596,2526.928083,2358.198965,2129.53722
LOC100242349,972.7341224,918.8829394,1058.815509,1170.65311
LOC100247485,1655.149656,1566.09614,1130.036283,997.3875646
LOC100252593,2928.213353,2724.687673,3742.256009,3611.920223
LOC100256025,8594.431328,7459.931168,6955.104264,9370.40804
LOC100257727,787.5308847,854.960648,501.7107866,513.1325778
LOC100261111,126.8058204,159.8057286,1212.335844,1341.697303
LOC104879925,206.893707,197.7595891,348.9817932,318.3939516
LOC100854604,3650.67283,2759.645176,980.4726571,493.8808504
LOC100266317,2072.274065,2007.559465,1669.731482,1447.581803
LOC100266260,1436.576466,1541.126495,1981.520204,2208.025032
LOC100243985,28541.32058,21191.2384,14551.98684,13894.56396
LOC100249156,1197.981303,1144.608531,743.0700767,480.5527315
LOC100243935,1034.468535,875.9351499,879.1808894,943.3346379
LOC100254254,21.69046928,29.96357411,55.39393543,111.8081086
LOC100259371,485.5328124,448.4548259,519.9116511,664.184592
LOC100249090,86.76187713,129.8421545,322.0761674,337.6456789
LOC100259314,90.0988724,98.87979457,159.0597289,119.2126191
LOC100264486,53.39192439,54.9332192,66.47272251,64.41924136
LOC100247340,4798.599204,3792.389697,2650.204139,2837.408424
LOC100252456,2068.93707,2537.914727,2806.889842,2778.17234
LOC109122920,105.1153511,115.8591532,23.74025804,22.2135315
LOC100262709,397.1024376,394.5203925,652.8570961,871.510886
LOC100268158,176.8607495,186.7729453,220.7843998,208.0667451
LOC100245836,23.35896692,13.98300125,1.582683869,10.3663147
LOC100242265,458.8368502,456.4451123,409.9151222,453.1560427
LOC100247396,1568.387779,2015.549752,1924.543585,2214.689091
LOC100250977,2711.30866,2548.901371,1842.244024,1310.598359
LOC100256131,283.6445983,252.6928083,489.8406576,499.0640078
LOC100261215,680.7470359,669.1864885,1189.386928,1366.132188
LOC100266423,3.336995274,4.993929019,18.99220643,8.885412602
LOC100252506,2876.489926,2613.822448,1754.405069,581.2540744
LOC100259462,6553.858718,8504.661119,6352.10171,3281.679054
LOC100264638,196.8827212,169.7935866,121.8666579,116.9912659
LOC100257640,12805.71936,12338.00103,7527.244483,5787.365408
LOC100252600,125.1373228,149.8178706,184.3826708,169.5632905
LOC100262762,1558.376793,1565.097354,1372.186915,1455.726765
LOC100257737,45.0494362,31.96114572,79.13419347,85.89232182
LOC100262859,13.3479811,5.992714822,13.45281289,20.7326294
LOC100267907,662.3935619,688.1634188,1164.855328,1118.821537
LOC100245593,1249.70473,1108.652242,3320.470758,4144.304528
LOC100250725,1585.072755,1857.741595,1382.47436,1072.173121
LOC100255896,530.5822486,490.4038296,705.0856638,610.8721164
LOC100245693,80.08788658,56.93079081,85.46492895,51.83157351
LOC100260973,168.5182613,207.7474472,191.5047482,225.0971192
LOC100250831,0.0,0.0,75.96882573,83.67096867
LOC100266173,105.1153511,148.8190848,538.1125156,348.0119936
LOC100244132,762.5034201,703.1452058,430.4900125,684.9172214
LOC100266268,26.69596219,25.9684309,33.23636126,28.13713991
LOC100249101,1394.864025,1244.487111,675.8060122,664.925043
LOC100254399,3500.508043,2908.46426,4949.843801,6579.648032
LOC100259524,3912.626959,3507.735743,2848.830965,2570.105595
LOC100254208,467.1793384,536.3479766,658.3964897,563.4832492
LOC100259321,206.893707,230.7195207,269.8475997,161.4183289
LOC100264494,100.1098582,142.8263699,174.8865676,171.0441926
LOC100242215,5.005492911,1.997571607,11.07878709,33.32029726
LOC100264695,657.388069,580.294552,741.4873928,855.2209629
LOC100247348,3090.057624,3027.319771,2021.878643,1526.069614
LOC100242410,1276.400692,1287.434901,997.8821796,887.0603581
LOC100247547,744.1499461,803.0237862,519.9116511,581.9945254
LOC100252647,3465.469592,3726.469834,3995.485428,4339.783605
LOC100257791,614.0071304,702.14642,689.2588251,765.6263859
LOC100266433,547.267225,497.3953302,414.6631738,344.3097383
LOC100254360,36.70694802,43.94657536,54.60259349,77.00690922
LOC104879927,120.1318299,168.7948008,425.7419609,621.2384311
LOC100852489,141.8222991,142.8263699,91.00432249,134.0216401
LOC100259470,136.8168062,129.8421545,255.6034449,314.6916963
LOC100245741,12323.52355,10988.64141,6127.3606,5189.821411
LOC109122938,789.1993823,656.202273,549.1913027,545.712424
LOC100250891,931.0216815,1142.610959,1080.973083,1191.38574
LOC100256032,12989.2541,11444.08774,7552.567425,7880.620527
LOC100264647,1014.446563,228.721949,292.7965158,1837.799506
LOC100261117,857.6077854,1046.727522,1536.786037,2131.018122
LOC100266324,487.20131,557.3224785,828.5350056,901.8693791
LOC100243992,6208.479707,5051.858595,3233.423145,3091.383134
LOC100249160,2000.528667,2037.52304,1673.688192,1731.915006
LOC100254260,7848.612885,7785.53534,4194.112254,4003.618828
LOC100259379,96.77286295,129.8421545,81.50821927,108.1058533
LOC104879929,148.4962897,139.8300125,201.0008514,268.0432802
