"","CO_A","CO_B","A1_A","A1_B"
"LOC104878031",14.9147423358003,9.93440473830139,49.6814235712493,21.8820075865099
"LOC100853262",171.022378783844,163.917678181973,168.916840142247,227.771806241399
"LOC109121990",138.209945645083,157.957035338992,237.477204670571,152.179416397092
"LOC100853334",160.084901070924,206.635618556669,162.955069313698,101.452944264728
"LOC100246216",5060.07491645919,5645.72221277668,2261.49840096327,2419.9511117263
"LOC100254795",852.128945452059,576.195474821481,441.171041312693,542.07700612036
"LOC100249674",902.83906939378,846.411283703278,813.781718097063,794.714730073702
"LOC104878241",77.5566601461617,78.481797432581,186.802152627897,134.275955644493
"LOC109122069",34.8010654502008,43.7113808485261,10.9299131856748,5.96782025086635
"LOC100854989",346.022022190568,316.907511151814,197.732065813572,215.836165739666
"LOC109122103",13.9204261800803,16.8884880551124,8.94265624282487,10.941003793255
"LOC104878297",103.408880194882,91.3965235923728,60.6113367569241,105.431491098639
"LOC104878298",20.8806392701205,20.8622499504329,61.6049652283491,29.8391012543317
"LOC100854625",56.6760208760413,40.7310594270357,44.7132812141243,121.345678434282
"LOC100241634",17.8976908029604,17.8819285289425,8.94265624282487,19.8927341695545
"LOC109122139",171.022378783844,230.478189928592,388.508732327169,254.626997370297
"LOC100266066",1118.60567518502,1112.65333068976,1649.42326256548,993.642071769247
"LOC100260858",1153.40674063523,1229.87930660171,343.795451113045,788.746909822835
"LOC100257504",35.7953816059208,20.8622499504329,140.101614470923,179.03460752599
"LOC100264826",3859.93531650513,4529.0951201916,3888.06820868597,3149.01981904047
"LOC100854867",4479.3942815187,5122.1790830682,2004.1486268642,2130.51182955929
"LOC100257929",1673.4340900768,1495.12791311436,1509.32164809455,1220.41924130217
"LOC100263062",317.186853674687,473.871106016976,186.802152627897,162.125783481869
"LOC104878347",31.8181169830407,28.809773741074,805.832690325663,548.044826371226
"LOC100251036",1473.57654277707,3056.81633797534,1013.50104085348,615.680122547711
"LOC100247129",216.760921946965,198.688094766028,60.6113367569241,52.7157455493194
"LOC100853224",42.755594695961,42.717940374696,12.9171701285248,30.8337379628095
"LOC100254613",1375.13924336079,1536.85241301522,1816.35284576487,1307.94727164821
"LOC100854573",731.816690609936,614.939653300856,202.700208170697,401.833230225001
"LOC100244739",1278.69057625595,1511.02296069564,1136.71097131018,1747.57669679536
"LOC100267056",2943.17582093127,2922.70187400827,1413.93331483775,1830.13154359901
"LOC100261868",3115.19251587083,2763.75139819545,3119.99340027445,2485.59713448583
"LOC100854510",486.220600147091,581.162677190631,58.6240798140741,49.7318354238862
"LOC100854752",432.52752773821,641.76254609427,523.642204440967,378.956585930013
"LOC109121394",233.664296594205,301.012463570532,229.528176899172,111.399311349505
"LOC100855110",701.987205938336,708.323057840889,345.782708055895,278.498278373763
"LOC100256938",252.556303552886,243.392916088384,217.604635242072,253.63236066182
"LOC100855218",102.414564039162,131.134142545578,114.267274213873,53.7103822577971
"LOC100855180",278.408523601606,229.484749454762,145.069756828048,268.551911288986
"LOC104878417",247.584722774286,274.189570777118,424.279357298469,211.857618905755
"LOC100255430",262.499465110086,287.10429693691,172.891354027947,288.44464545854
"LOC104878479",193.891650365404,214.58314234731,120.229045042423,222.79862269901
"LOC100253630",448.43658622973,317.900951625644,126.190815870973,198.927341695545
"LOC100261438",2757.23869981162,3032.97376660341,1730.90079722232,1285.07062735322
"LOC100264137",240.624509684245,276.176451724779,1857.0916130933,2517.42550915712
"LOC100255005",139.204261800803,146.03574965303,193.757551927872,151.184779688614
"LOC104878429",65.6248662775215,65.5670712727892,36.7642534427245,38.7908316306312
"LOC100853545",802.413137666058,884.162021708824,2192.93803643494,978.722521142081
"LOC104878488",420.595733869569,248.360118457535,82.4711631282738,218.820075865099
"LOC100264098",39.7726462288009,31.7900951625644,26.8279687284746,26.8551911288986
"LOC100241818",16.9033746472404,17.8819285289425,21.8598263713497,21.8820075865099
"LOC100246947",0.994316155720022,0,1.98725694284997,49.7318354238862
"LOC100250901",1626.70123075796,1031.19121183568,260.330659513346,1309.93654506516
"LOC100262923",189.914385742524,239.419154193063,280.203228941846,263.578727746597
"LOC104878413",23.8635877372805,27.8163332672439,10.9299131856748,37.7961949221535
"LOC104878516",59.6589693432013,34.7704165840549,24.8407117856246,49.7318354238862
"LOC104878544",20.8806392701205,13.9081666336219,13.9107985999498,1.98927341695545
