"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3983","LOC100264319",224.715451192725,190.740570975387,816.762603511338,1232.3548818039,616.143376870837,-2.30223592709727,0.334113335202947,-6.89058377660637,5.55638922389557e-12,1.0206955432238e-10
"3984","LOC100264352",415.624153090969,346.710725366718,1392.0734884664,746.972168066771,725.345133747716,-1.48847512753105,0.366607380819227,-4.06013409824123,4.90445401064011e-05,0.000286649775122026
"3985","LOC100264353",101.420247883442,96.3637259615235,675.66736056899,512.237904866028,346.422309819996,-2.58642731193931,0.346619696898844,-7.46185902036066,8.53101396987108e-14,1.9312070905982e-12
"3986","LOC100264357",5010.35910867319,5891.10200981272,1885.90683876462,2444.81702943825,3808.0462466722,1.33184327744879,0.26459263081421,5.03356149168031,4.81450283809942e-07,4.32169658408836e-06
"3987","LOC100264358",1238.91793002715,806.673664750073,3440.93539654472,3103.2665304505,2147.44838044311,-1.67770179927376,0.296873619600812,-5.65123233761783,1.59301596372055e-08,1.85514618869766e-07
"3988","LOC100264374",958.520774114101,545.398820132746,1564.96484249435,2151.39920043732,1305.07090929463,-1.30516643211372,0.349002295121927,-3.7397073038094,0.000184234655602901,0.000927380335290869
"3989","LOC100264381",233.664296594205,171.865201972614,1475.5382800661,1672.97894365953,888.511680573114,-2.95680293136344,0.298442137126427,-9.90745797437738,3.86350901274849e-23,1.90065797041798e-21
"3990","LOC100264386",547.868201801732,742.100033951114,271.260572699021,232.744989783787,448.493449558914,1.35582303216874,0.328648146921324,4.12545466898162,3.70003058443002e-05,0.000221913817686451
"3991","LOC100264388",92.4714024819621,39.7376189532056,561.400086355117,670.385141513986,340.998562326068,-3.21989408815473,0.437977562573298,-7.35173297288686,1.95653378617656e-13,4.27554566274986e-12
"3992","LOC100264391",59.6589693432013,73.5145950634303,65.579479114049,751.94535160916,237.67459878246,-2.61794208734653,0.777259176837474,-3.36817134536572,0.000756685532390803,0.00318230758722321
"3993","LOC100264396",2682.66498813262,2130.92981636565,1205.27133583851,977.727884433603,1749.14850619259,1.14080066410892,0.275382126068266,4.14260969074704,3.43376045507591e-05,0.000207424223955918
"3994","LOC100264400",1187.21348992971,1184.18104480553,444.151926726968,644.524587093565,865.017762138941,1.123166189456,0.30284966401274,3.70865918942791,0.000208359650040232,0.00103232968344669
"3995","LOC100264404",398.720778443729,310.946868308833,1045.29715193908,1129.90730083069,721.218024880585,-1.61593961381227,0.291992138974091,-5.53418876100516,3.12672105954473e-08,3.44811174253784e-07
"3996","LOC100264411",124.289519465003,149.016071074521,538.546631512342,451.565065648887,315.854321925188,-1.85707091925097,0.342826394012467,-5.41694266160683,6.06267723212313e-08,6.40566787699966e-07
"3997","LOC100264414",325.141382920447,449.035094171223,157.986926956573,142.233049312315,268.599113340139,1.36664317727465,0.366641036684568,3.72746921521066,0.000193412176677571,0.00096754057628636
"3998","LOC100264422",18.8920069586804,5.96064284298083,60.6113367569241,116.372494891894,50.4591203626198,-2.83221153756088,0.791697323917801,-3.57739182891938,0.000347039760061417,0.00161248375038903
"3999","LOC100264433",64.6305501218014,39.7376189532056,125.197187399548,135.270592352971,91.2089872068814,-1.31944107312911,0.524706857590317,-2.5146251741183,0.0119158994132916,0.0335254137489317
"4000","LOC100264439",798.435873043178,1134.50902111402,4654.15576015463,3038.61514439945,2406.42894967782,-1.99270054860715,0.320008458919137,-6.22702460846724,4.75376477537186e-10,6.89312980008989e-09
"4001","LOC100264440",9.94316155720022,17.8819285289425,136.127100585223,153.17405310557,79.2815609442338,-3.37804621608603,0.599360223067449,-5.63608675730535,1.73957765723778e-08,2.01188539830769e-07
"4002","LOC100264446",13.9204261800803,14.9016071074521,668.711961269015,687.293965558108,346.206990028664,-5.55603316412247,0.419060838103532,-13.2582972660161,4.03963959747888e-40,5.81996647722493e-38
"4003","LOC100264451",68.6078147446815,99.3440473830139,627.973193940591,637.562130134221,358.371796550627,-2.91360575740538,0.352121304977285,-8.27443757654291,1.29063364457721e-16,3.77824101757943e-15
