"","Row.names","CO_A","CO_B","A1_A","A1_B","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"418","LOC100247770",12439.8894242132,16554.6920559054,9324.20957585206,4568.36640203819,10721.7893645022,1.06146938390861,0.35788812273155,2.96592514947699,0.00301773924836307,0.01055267001378
"419","LOC100247786",10559.6375737466,11553.7127106445,4920.44819049653,5708.22006995366,8185.50463621033,1.05695753177693,0.238299860098233,4.43540978723707,9.18973098618909e-06,6.36090851034434e-05
"420","LOC100247798",101.420247883442,126.166940176428,44.7132812141243,35.8069215051981,77.0268476947981,1.49898816506124,0.542339336477551,2.76393037391875,0.00571097240034648,0.0181373505455816
"421","LOC100247802",9201.40170503309,12636.5628271194,3529.36833050155,4210.29718698621,7394.40751241005,1.49649632491808,0.271699874294011,5.50790216155454,3.6313512291944e-08,3.96988370150954e-07
"422","LOC100247806",35562.7116254823,53191.7832902871,16046.1061850421,8825.41151432285,28406.5031537836,1.83532598954737,0.34611499374118,5.30264802951531,1.14134848508452e-07,1.14875244232309e-06
"423","LOC100247818",457.38543163121,528.510332077634,185.808524156472,218.820075865099,347.631090932604,1.28484445259132,0.328423376105452,3.91215895721983,9.14746670847932e-05,0.000497182440070137
"424","LOC100247822",316.192537518967,175.838963867935,74.5221353568739,70.6192063019184,159.293210761423,1.76128265463884,0.465802584005711,3.78117836851082,0.000156087786257961,0.000801295660173852
"425","LOC100247827",12040.1743296137,12241.173518535,4582.61451021203,5236.76227013522,8525.18115712399,1.30614579646457,0.233368666940086,5.59692015895134,2.18193127433843e-08,2.48360913111773e-07
"426","LOC100247830",744.742800634297,699.382093576418,265.298801870471,360.058488468936,517.37054613753,1.20744991339435,0.314302362407375,3.84168258916663,0.000122193787901951,0.00064468969447616
"427","LOC100247840",8419.86920663715,18859.4739551914,2015.07854004987,982.701067975992,7569.28069246359,3.18584137743719,0.428221902597889,7.43969740480271,1.00916192560674e-13,2.26298494306128e-12
"428","LOC100247923",1525.28098287451,1836.87143611193,854.520485425487,770.843449070236,1246.87908837054,1.04862230735665,0.266916421830047,3.92865414636921,8.54225881735137e-05,0.000467690988995595
"429","LOC100247924",10065.4624443538,11505.0341274268,4064.93407659961,3926.82572507006,7390.56409336257,1.43247454234239,0.234562739582718,6.10699953833558,1.01521532553733e-09,1.4151273749888e-08
"430","LOC100247983",9914.32638868434,10939.7664978175,3616.80763598695,3781.60876563231,7063.12732203027,1.49504267677592,0.231701671682103,6.45244665660911,1.10058628972667e-10,1.73273315077406e-09
"431","LOC100248040",1801.70087416468,1695.80288882805,506.750520426742,899.151584463863,1225.85146697083,1.31483498572779,0.334283796242614,3.93328961949898,8.37911773683401e-05,0.0004606345182664
"432","LOC100248112",1054.96944121894,1207.03017570362,576.304513426491,512.237904866028,837.63550880377,1.05520023663472,0.275051901515371,3.83636772122351,0.000124867402102449,0.000657248303863882
"433","LOC100248134",6899.55980454123,6294.43884218776,1326.49400935236,2438.84920918738,4239.83546631718,1.80903109286395,0.32761091945367,5.5218888792862,3.35374574559893e-08,3.69040107412605e-07
"434","LOC100248207",2274.99536428741,2253.12299464675,890.291110396787,1142.83757804091,1640.31176184296,1.15521296371435,0.265878893301976,4.34488405366688,1.39349246289933e-05,9.27003396328481e-05
"435","LOC100248235",3151.98221363247,3688.64447933131,1181.42425252431,1211.46751092587,2308.37961410349,1.51537433429316,0.248077138622445,6.1084803811747,1.00584221034923e-09,1.40303163089515e-08
"436","LOC100248239",2409.22804530961,2750.83667203565,1191.36053723856,1361.657653906,1928.27072712246,1.01518735538572,0.254100016604612,3.99522742639323,6.46321791658743e-05,0.000367102310955364
