ID,CO_A,CO_B,AF_A,AF_B
LOC100244360,2120.995013,1910.678034,2155.989142,1930.250376
LOC100263155,1022.111049,931.1677889,1307.174519,1337.286775
LOC109123808,299.0706096,427.0250305,213.5438893,232.0292351
LOC100248053,9.166915237,17.26516296,28.59165045,30.77090215
SOR,304.7999316,250.9203683,446.7445383,429.9609841
LOC100241270,136.3578642,98.9869343,114.3666018,128.9051306
LOC100263537,380.4269823,531.7670191,4255.688471,4935.819034
LOC100259932,98.5443388,94.38289084,264.4727666,123.9152546
LOC100251546,2.291728809,4.604043456,208.1829548,153.0228648
LOC100241276,1541.187624,1616.019253,1372.399222,1299.031058
LOC100263535,670.3306767,642.2640621,653.1405149,642.8623612
LOC100258393,2680.176842,3110.031354,2277.503656,1521.080542
LOC100263542,2583.924232,2336.552054,1359.890374,1207.549998
LOC100265304,5.729322023,12.6611195,179.5913044,240.3456952
LOC100251445,155.837559,108.1950212,563.7916073,835.8042341
LOC100254907,224.5894233,242.8632923,177.8043262,171.3190768
LOC100258402,517.9307109,486.8775954,902.4239673,844.1206942
LOC100253268,8447.312391,8999.753945,6306.245902,6398.684356
LOC100258308,2520.90169,2384.89451,1818.250271,1681.58822
LOC104881538,16.04210166,12.6611195,19.65675968,15.80127408
LOC100246745,10704.66527,9933.223755,12258.67013,13115.05748
LOC100853921,2751.220436,2534.525922,1723.540429,1483.656471
LOC100853960,223.4435589,344.1522483,256.431365,422.4761701
LOC100853991,246.360847,214.0880207,297.5318625,313.5305436
LOC100253666,1039.299015,1099.215375,526.2650661,399.190082
LOC100251878,2736.324198,2816.523584,1671.718062,1481.993179
LOC100265647,1149.301998,1121.084581,1052.530132,731.8484836
LOC100257009,4669.397449,5386.730843,3675.814061,3752.386771
LOC100262118,527.0976261,660.6802359,713.0042831,525.6002746
LOC104881541,82.50223713,92.08086911,97.39030934,93.97599847
LOC104881542,136.3578642,147.3293906,112.5796236,87.32283043
LOC100267283,918.9832525,710.173703,1132.05066,1140.186672
LOC100244974,629.0795581,603.1296927,426.1942895,379.2305779
LOC104881543,19.47969488,33.37931505,8.934890765,5.821522029
LOC109123819,18.33383047,21.86920641,75.9465715,47.40382223
LOC100265534,76.77291511,88.62783652,87.5619295,113.9355026
LOC100265275,9.166915237,20.71819555,23.23071599,14.13798207
LOC100255271,1620.252268,1616.019253,1426.008566,1251.627236
LOC104881545,10.31277964,16.11415209,24.12420507,8.316460041
LOC100260351,4286.678738,5252.062572,3914.375644,3266.705504
LOC109123851,8.021050832,32.22830419,16.97629245,13.30633607
LOC100262099,89.37742356,82.8727822,50.03538828,19.12785809
