ID,A1_A,A1_B,F1_A,F1_B
LOC100252667,33.3415167,48.6080688,36.38920453,20.14142666
LOC100264718,827.6541204,917.1198864,1126.549124,1011.64893
LOC109122935,1379.750412,1091.537074,1531.379024,1441.943045
LOC100245694,922.7755063,1070.092338,1631.449337,1754.135158
LOC100259545,1629.811787,1670.544953,2033.246803,2369.364191
LOC100249028,124.5403712,149.3983291,303.2433711,245.3591975
LOC100262861,7530.27961,5202.493011,1679.968276,1192.92177
MIR398A,5.883797065,22.15956078,34.87298768,65.91739634
LOC100252601,528.561103,283.7853429,636.8110793,541.987481
LOC100247494,1718.068743,1623.366533,2330.425307,2397.745292
LOC100266199,442.2654127,386.0052523,539.7732006,430.294115
LOC100260996,36.28341523,22.15956078,31.84055397,18.31038787
LOC100255915,34.32214954,55.75631421,48.51893938,54.01564422
LOC104879181,604.069832,659.068227,920.3436313,1030.874837
LOC100267935,94.14075304,182.280258,110.6838305,166.6245296
LOC100262788,155.9206222,196.5767488,268.3703834,244.4436781
LOC100242357,4061.78124,2769.945097,2841.390387,2730.994351
LOC100244008,19.61265688,20.01508715,6.064867422,0.915519394
LOC109123391,27.45771964,20.01508715,16.67838541,28.3811012
LOC100261136,67.66366624,27.16333257,56.10002366,63.17083816
LOC100256051,106.88898,160.8355218,106.1351799,205.0763442
LOC109123055,473.6456637,528.255336,403.3136836,440.3648283
LOC100252664,544.2512285,800.6034862,864.2436077,922.8435488
LOC100247562,862.9569028,927.1274299,1231.168087,1029.959318
LOC100853109,206.9135301,237.3217477,303.2433711,368.0387962
LOC100264713,437.3622485,332.3934117,392.7001656,441.2803477
LOC100264641,2089.728591,1065.803391,1205.3924,930.1677039
LOC100259539,90.21822166,168.6985917,166.7838541,137.327909
LOC100259464,1444.472179,1606.925569,1739.100733,1524.33979
LOC104877428,56.87670496,128.6684174,56.10002366,80.56570664
LOC100249022,53.93480643,113.6571021,31.84055397,32.95869817
LOC100254353,644.2757786,787.0218199,944.603101,823.0519349
LOC100243868,568.7670496,470.3545481,664.1029827,591.4255283
LOC100249255,1497.426353,1171.597423,1531.379024,1210.316638
LOC100266192,456.9749054,480.3620917,371.4731296,353.3904859
LOC100260989,203.9716316,243.040344,288.0812026,165.7090102
LOC100244086,938.4656318,844.2077832,1053.770715,894.4624476
LOC100266425,1485.658759,2115.880642,2926.298531,2671.485591
LOC100261218,374.6017465,303.0856055,530.6758994,484.3097592
LOC100256132,746.2615944,396.0127958,529.1596826,470.5769683
LOC100250979,14.70949266,14.29649082,24.25946969,30.21213999
LOC109121469,2811.474364,2794.963956,1396.435724,1493.212131
LOC100247417,1494.484454,1467.534783,2888.39311,2840.856678
LOC100242282,53.93480643,87.92341857,39.42163824,43.94493089
LOC100259396,41.18657945,43.60429701,0.0,1.831038787
LOC100245839,2692.81779,2661.291767,3250.768938,3293.123259
LOC100254274,19.61265688,12.1520172,9.097301133,10.98623272
LOC100855161,277.5190949,586.1561238,180.4298058,166.6245296
LOC100266338,2629.076655,2401.095634,3003.625591,2757.544414
LOC100855130,100.0245501,104.364383,92.48922819,75.98810967
LOC100261132,308.8993459,150.8279782,194.0757575,107.1157691
LOC100855064,83.35379175,73.62692774,72.77840907,70.49499331
LOC100268160,2596.715771,2452.563001,4066.493607,3541.229014
LOC100256047,1772.003549,1101.544618,2101.476562,1745.895484
LOC100250903,346.163394,278.0667465,433.6380207,342.4042532
LOC100854962,370.6792151,215.8770114,372.9893465,248.1057557
LOC100245755,1802.403167,1764.901792,2228.838778,1944.563192
LOC100262925,1055.16094,973.5910251,2033.246803,1599.412381
LOC104879122,141.2111296,118.6608738,7.581084278,2.746558181
LOC100247555,574.6508467,961.4390079,1106.838305,1235.951181
LOC100242423,3965.679222,6459.869379,7672.057289,8980.329732
LOC100264706,1392.498639,2067.272573,4202.953124,4492.453664
LOC100257583,754.1066571,945.712868,791.4651986,741.5707088
LOC100252459,1392.498639,1341.010839,1933.176491,1475.817262
LOC100247342,5488.602029,4729.993989,4165.047702,4410.056919
LOC104879102,14.70949266,16.44096445,0.0,4.577596968
LOC100260982,58.83797065,114.3719266,81.8757102,57.6777218
LOC100255903,1329.738137,1486.120221,1293.332978,1459.337913
LOC100250738,1022.800056,1120.130056,1984.727864,1676.31601
LOC100242206,409.9045288,297.3670091,260.7892992,246.2747169
LOC100245605,774.6999469,350.2640252,556.451586,486.140798
LOC100264488,927.6786705,1583.336359,733.8489581,871.5744627
LOC100267922,893.356521,1168.738125,1040.124763,1047.354186
LOC100262776,229.4680855,225.884555,389.6677319,283.811012
LOC100259316,3862.712773,2645.565627,5147.556225,4327.660174
LOC104879053,758.0291885,490.3696353,585.2597062,509.9443022
LOC100257653,469.7231323,502.5216525,444.2515387,359.7991217
LOC100254202,1680.804695,1732.734688,2456.271306,2352.884842
LOC100249093,861.97627,1127.278301,463.9623578,507.1977441
LOC100252517,466.7812338,311.6635,71.26219221,98.87609451
LOC100243937,1783.771143,1104.403916,1516.216856,1892.378587
LOC100249170,312.8218773,260.196133,69.74597536,113.5244048
LOC104879035,532.4836344,276.6370974,418.4758521,321.3473072
LOC100244000,48.05100936,131.5277156,87.94057762,64.08635755
LOC100261052,59007.62013,32426.58566,50819.04035,43838.73064
LOC100255965,1724.933173,1589.76978,1670.870975,1998.578836
LOC100250897,173.5720134,144.3945573,39.42163824,24.71902363
LOC100250825,1758.27469,2314.601864,3023.33641,3197.909242
LOC100245750,68.64429909,40.74499885,43.97028881,51.26908604
LOC100245685,347.1440268,395.2979713,28.80812026,39.36733393
LOC100268002,1052.219042,753.4250664,899.1165953,980.5212706
LOC100854972,59.81860349,57.1859633,48.51893938,74.15707088
LOC100854077,70.60556478,58.61561238,0.0,4.577596968
LOC100268073,313.8025101,391.009024,444.2515387,407.4061302
LOC104879015,419.7108573,704.8169976,1661.773674,1694.626398
LOC100262851,6785.979281,4800.046794,5180.912995,5174.515613
LOC100257798,256.9258052,344.5454289,2535.114583,2802.404864
LOC104879009,305.9574474,241.6106949,1441.92223,1339.404873
LOC100252595,1891.640756,1005.758129,715.6543558,638.1170173
LOC100247487,275.5578292,303.80043,77.32705963,113.5244048
LOC100242416,351.0665582,265.1999048,295.6622868,351.5594471
LOC100242352,5906.35162,5879.431851,7917.68442,8673.630735
LOC100254406,138.269231,258.7664839,429.0893701,531.9167677
LOC100249303,474.6262966,398.1572695,274.4352509,335.9956175
LOC104878994,110.8115114,126.5239438,125.845999,86.058823
LOC104878992,1297.377253,872.0859403,1027.995028,722.3448016
LOC100259458,8576.614855,3975.139274,4077.107125,3864.40736
LOC100266180,650.1595757,624.0418245,395.7325993,345.1508114
LOC100853809,294.1898532,243.040344,225.9163115,270.9937405
LOC100255898,931.6012019,1373.177944,1987.760298,1994.916759
LOC100250730,144.1530281,208.0139415,394.2163824,392.7578199
LOC100254346,588.3797065,484.6510389,914.2787639,1008.902372
LOC100245596,819.8090577,1068.662689,1573.833096,1633.286598
LOC100267914,19.61265688,42.17464793,19.71081912,14.6483103
LOC100262769,16192.20952,22847.93681,15109.10097,16779.63945
LOC100257645,908.0660137,890.6713783,1118.968039,1318.347927
GS,21765.14598,17872.758,29648.10439,26366.04302
LOC100252512,1786.713042,1944.322752,1913.465672,2107.525644
LOC100247403,250.0613753,331.6785871,342.6650094,360.7146411
LOC100244078,7.845062753,12.1520172,21.22703598,50.35356665
