ID,CO_A,CO_B,A1_A,A1_B
LOC100854587,148.1124442,124.4481396,175.3179165,486.4779282
LOC100244016,642.1732401,547.9901274,644.2933431,839.2549688
LOC100266351,5133.154137,6029.982967,4071.75861,3332.051637
LOC100261145,1956.142209,1999.536496,744.0054081,947.9876183
LOC104878875,461.264469,467.4648606,268.4555596,275.4560454
LOC104878876,151.2862823,143.272228,81.08453638,129.6737524
LOC104878877,22.21686663,11.50360955,23.01047654,31.4116543
LOC100855361,185.1405552,176.7372739,213.6687107,82.95898444
LOC100252160,655.9265385,607.5997405,979.5888584,1178.33975
LOC104878893,11.63740633,7.320478802,14.24458071,16.10854067
LOC100266905,252.8491011,269.811933,61.36127077,118.3977739
LOC100265262,97.33103474,79.47948413,172.0307056,189.2753528
LOC100852691,94.15719665,111.8987474,55.88258588,62.01788157
LOC100263997,597.7395068,765.5129261,619.0913926,522.7221447
LOC100253681,1211.348204,1388.799407,672.7825045,834.4224066
LOC100853161,540.6104212,425.6335532,820.7069966,927.0465154
LOC109122378,24.33275869,14.6409576,17.53179165,16.9139677
LOC104878911,23.27481266,33.46504595,65.74421868,47.52019497
LOC100264147,5248.470254,5929.587829,5551.003531,3212.043009
LOC100241864,19.04302854,24.05300178,15.34031769,22.55195693
LOC100262342,668.6218908,535.4407352,982.8760693,1000.340375
LOC100267500,1876.796257,2563.213363,2614.42843,1884.699258
LOC100246992,2348.640186,2449.223051,1675.381839,1568.971861
LOC104878912,70.882384,56.47226504,44.9252161,88.59697367
LOC100243468,147.0544981,129.6770531,219.1473956,307.6731267
LOC100253700,877.0372587,735.1852282,674.9739785,577.4911829
LOC100257346,1853.521444,2033.001541,1182.300199,1221.027383
LOC100248717,1786.870844,1499.652372,1941.645925,3563.209196
LOC100245203,8.463568238,15.68674029,13.14884374,28.18994617
LOC100257251,2130.703304,2087.382241,530.3366974,820.730147
LOC100262362,716.2294622,458.0528164,2325.153867,2278.553077
LOC100265791,16.92713648,12.54939223,62.45700775,21.7465299
LOC100253706,743.7360589,829.30567,777.9732544,542.8578205
LOC104878918,15.86919045,21.96143641,12.05310676,23.35738397
LOC104878946,180.9087711,209.1565372,123.8182785,111.1489306
LOC100246869,286.7033741,288.6360213,181.8923384,223.9087153
LOC104878920,66.65059988,64.83852653,104.0950129,162.6962607
LOC100250343,3410.818,4525.101682,2345.97287,1804.961982
LOC100255521,3365.326321,3559.844263,1897.816446,1901.613226
LOC100245322,457.0326849,465.3732952,636.6231843,607.2919832
LOC100260704,2452.318897,2290.264082,1096.832715,1394.999622
LOC100260591,1.05794603,5.22891343,20.81900258,26.5790921
LOC100265806,11828.89456,14634.68291,20058.56112,9042.529304
LOC100246881,114.2581712,130.7228357,180.7966014,143.3660119
LOC100248624,26.44865074,13.59517492,30.68063539,36.2442165
LOC100263311,28916.83883,31913.10444,19153.48238,22489.13363
LOC100258174,2039.719945,2381.247176,2652.779224,1811.405398
LOC100241045,494.0607959,527.0744737,654.1549759,934.2953587
LOC100246153,77.23006017,83.66261488,55.88258588,59.60160047
LOC100244406,66.65059988,28.23613252,39.44653121,43.4930598
LOC100252948,259.1967773,213.3396679,190.6582342,120.814055
LOC100256517,178.792879,157.9131856,317.7637236,311.7002619
LOC100266805,3695.405482,3917.501942,3151.339549,3951.425026
LOC100251294,35380.88907,39771.11555,35184.11437,28977.65381
LOC100256448,2.11589206,2.091565372,38.35079423,20.13567583
LOC100261535,24.33275869,8.366261488,82.18027335,95.84581697
LOC100266732,25.39070471,7.320478802,328.7210934,252.0986614
LOC100244413,1379.561623,2053.917195,3825.21779,4543.413895
LOC100249571,8.463568238,9.412044174,52.59537495,57.9907464
LOC100263307,51.83935546,41.83130744,135.8713853,107.9272225
LOC100241041,74.05622209,50.19756893,42.73374214,51.54733014
LOC100254685,12.69535236,6.274696116,421.8587366,281.8994617
LOC100259788,84.63568238,101.4409205,392.2738381,308.4785538
LOC100246147,7.405622209,7.320478802,16.43605467,31.4116543
LOC109122382,58.18703164,53.33491698,93.13764314,124.8411902
LOC100264985,113.2002252,83.66261488,58.07405984,71.68300597
LOC100256443,64.53470782,87.84574562,82.18027335,103.0946603
LOC100852442,26.44865074,17.77830566,9.861632803,12.0814055
LOC100854736,2945.321747,3080.875793,2018.347514,1943.495432
LOC100854772,532.146853,684.9876593,850.291895,795.761909
LOC100251738,171.3872568,185.1035354,118.3395936,149.0040012
LOC100256869,1557.296556,1586.452335,1505.542608,1838.789917
LOC100265691,1603.846181,1578.086073,2715.236232,1635.016878
LOC100253491,95.21514268,97.25778979,188.4667602,74.9047141
LOC100258633,4.231784119,2.091565372,21.91473956,17.71939473
LOC109121984,20.10097457,19.86987103,17.53179165,12.0814055
LOC100248495,4921.564931,5785.269819,2513.620628,2818.994617
LOC100253600,2869.149633,3167.675756,1484.723605,1971.685378
LOC100258744,3564.220174,3724.032145,1995.337037,2024.038135
LOC100263906,542.7263133,518.7082122,1026.705548,584.7400262
LOC100246847,458.0906309,375.4359843,357.2102548,444.5957224
LOC100251986,1761.48014,1529.98007,1175.725777,1674.482802
LOC100262225,966.9626712,901.4646753,444.8692131,755.4905573
LOC104878929,1824.956901,2206.601467,1689.62642,988.25897
LOC100243250,167.1554727,117.1276608,105.1907499,247.2660992
LOC100248381,1211.348204,1492.331893,819.6112596,819.92472
LOC100241630,2316.901805,2999.304743,2172.846427,2700.596843
LOC100257121,423.1784119,369.1612881,462.4010047,689.4455406
LOC100267395,7893.335328,10335.47029,4924.241979,4976.733639
LOC100251889,180.9087711,160.004751,202.7113409,281.8994617
LOC100262128,14.81124442,4.183130744,9.861632803,43.4930598
LOC100251787,5016.780073,4089.010302,1514.308504,2388.091154
LOC100255284,2163.499631,1940.972665,1208.597887,1131.624982
LOC100256920,116.3740633,104.5782686,81.08453638,149.0040012
LOC100260368,111.0843331,106.669834,32.87210934,26.5790921
LOC100265579,0.0,3.137348058,175.3179165,233.5738397
VPRP1,8.463568238,3.137348058,12.05310676,29.80080023
LOC100233114,84633.56649,95048.05098,21550.95488,25925.08535
